season,hca
2007-08,
2008-09,-3.4025771920880374
2009-10,-3.201910513254204
2010-11,-3.234178104805199
2011-12,-3.1231115853840263
2012-13,-2.9964228374403628
2013-14,-3.241500076130038
2014-15,-2.8037416482017057
2015-16,-2.6943207130017677
2016-17,-2.6137017333954318
2017-18,-2.924079088942756
2018-19,-2.406636741585567
2019-20,-2.588461587367154
2020-21,-2.5477795077693663
2021-22,-2.4
2022-23,-2.1794067398961743
