season,feature_name,Rolling MOV,Base Elo,MOV Aware Elo,Vegas
2007-08,rsquared,,,,0.3186088059411632
2008-09,rsquared,0.3069769914712269,0.2389906571694795,0.2383141040561452,0.2587650538667218
2009-10,rsquared,0.27178664408997,0.2009973121027508,0.2109223002114723,0.2312175745362945
2010-11,rsquared,0.31636249184757403,0.2147330735162294,0.2322320354614159,0.2841204794629728
2011-12,rsquared,0.2623136686429153,0.1992079810269366,0.2090175694530246,0.2585277407962014
2012-13,rsquared,0.28284984943627345,0.2123726873189452,0.2248226111796193,0.2458156973415048
2013-14,rsquared,0.2954299315199237,0.214071187112509,0.2333041372508518,0.2699898267404373
2014-15,rsquared,0.2645302956385551,0.1850528907162205,0.1979811026320113,0.2591168207611674
2015-16,rsquared,0.3195811701089204,0.2533995136442839,0.265213307697853,0.298056294048133
2016-17,rsquared,0.23866255286331428,0.1873785419088169,0.1893348941634171,0.2262374836485708
2017-18,rsquared,0.22567327430787665,0.1612208257871933,0.1733075629936575,0.2305968167901735
2018-19,rsquared,0.25540544925881714,0.1968043345882213,0.2009909271748596,0.2502120566814027
2019-20,rsquared,0.30231807084138496,0.1927097056770148,0.2042117524522697,0.2344991088344266
2020-21,rsquared,0.23080904879680053,0.1031447843778667,0.1271384018452835,0.2299381477044412
2021-22,rsquared,0.20891553828880594,0.1199855514691499,0.1382661758808531,0.221342630520449
2022-23,rsquared,0.2737139565379668,0.1287201534934308,0.1487546723061505,0.1815117518466605
2007-08,batting_average,,,,0.7009544008483564
2008-09,batting_average,0.7315010570824524,0.6818181818181818,0.6976744186046512,0.7082452431289641
2009-10,batting_average,0.7066950053134963,0.6684378320935175,0.6758767268862912,0.6971307120085016
2010-11,batting_average,0.721868365180467,0.6847133757961783,0.6910828025477707,0.7080679405520169
2011-12,batting_average,0.6647727272727273,0.6690340909090909,0.65625,0.6818181818181818
2012-13,batting_average,0.6962962962962963,0.6761904761904762,0.6783068783068783,0.6814814814814815
2013-14,batting_average,0.6832627118644068,0.6641949152542372,0.676906779661017,0.6991525423728814
2014-15,batting_average,0.6955602536997886,0.6701902748414377,0.6701902748414377,0.693446088794926
2015-16,batting_average,0.7108050847457628,0.6927966101694916,0.7044491525423728,0.7055084745762712
2016-17,batting_average,0.6656084656084656,0.6465608465608466,0.6518518518518519,0.6592592592592592
2017-18,batting_average,0.6931216931216931,0.6835978835978836,0.6783068783068783,0.6962962962962963
2018-19,batting_average,0.6797040169133193,0.6617336152219874,0.6627906976744186,0.6754756871035941
2019-20,batting_average,0.7004950495049505,0.6707920792079208,0.6695544554455446,0.6905940594059405
2020-21,batting_average,0.660377358490566,0.6125786163522012,0.6251572327044025,0.6842767295597484
2021-22,batting_average,0.6758767268862912,0.6354941551540914,0.6418703506907545,0.6758767268862912
2022-23,batting_average,0.6810344827586207,0.6637931034482759,0.6551724137931034,0.6637931034482759
