elo_diff,rsquared,season,response_variable,model_name,batting_average
0.036900541839254286,0.23899065716947954,2008-09,home_mov,Base Elo,0.6818181818181818
-0.03737712940509476,0.8370693378531346,2008-09,point_spread,Base Elo,0.6818181818181818
0.028979909423642865,0.20099731210275085,2009-10,home_mov,Base Elo,0.6684378320935175
-0.03022915880765064,0.8451015847518909,2009-10,point_spread,Base Elo,0.6684378320935175
0.029169868677206546,0.2147330735162294,2010-11,home_mov,Base Elo,0.6847133757961783
-0.029674917659960658,0.8003036734898286,2010-11,point_spread,Base Elo,0.6847133757961783
0.030408368878439847,0.1992079810269366,2011-12,home_mov,Base Elo,0.6690340909090909
-0.031548912587961504,0.8103772900575756,2011-12,point_spread,Base Elo,0.6690340909090909
0.03062089921990146,0.2123726873189452,2012-13,home_mov,Base Elo,0.6761904761904762
-0.03110783316141012,0.8290766189570302,2012-13,point_spread,Base Elo,0.6761904761904762
0.030908566914654725,0.21407118711250905,2013-14,home_mov,Base Elo,0.6641949152542372
-0.032243672354022104,0.8115633457387554,2013-14,point_spread,Base Elo,0.6641949152542372
0.02839832042234619,0.18505289071622055,2014-15,home_mov,Base Elo,0.6701902748414377
-0.032807564229014326,0.7804576980866084,2014-15,point_spread,Base Elo,0.6701902748414377
0.031234486484858756,0.2533995136442839,2015-16,home_mov,Base Elo,0.6927966101694916
-0.030773093558621085,0.7868072669911443,2015-16,point_spread,Base Elo,0.6927966101694916
0.02861986037576508,0.18737854190881698,2016-17,home_mov,Base Elo,0.6465608465608466
-0.030955199814433374,0.8086046437970862,2016-17,point_spread,Base Elo,0.6465608465608466
0.027893170282105115,0.16122082578719332,2017-18,home_mov,Base Elo,0.6835978835978836
-0.03118164076641261,0.7571499145427611,2017-18,point_spread,Base Elo,0.6835978835978836
0.033975776648980674,0.19680433458822133,2018-19,home_mov,Base Elo,0.6617336152219874
-0.03348116729873851,0.7922079354676947,2018-19,point_spread,Base Elo,0.6617336152219874
0.03195833573550606,0.19270970567701484,2019-20,home_mov,Base Elo,0.6707920792079208
-0.03050957179620646,0.7214418730057797,2019-20,point_spread,Base Elo,0.6707920792079208
0.027318683807071642,0.10314478437786678,2020-21,home_mov,Base Elo,0.6125786163522012
-0.028018478428209256,0.5456599582257576,2020-21,point_spread,Base Elo,0.6125786163522012
0.029198103541477925,0.11998555146914991,2021-22,home_mov,Base Elo,0.6354941551540914
-0.03230294499168683,0.6705338346200389,2021-22,point_spread,Base Elo,0.6354941551540914
0.026403542652742296,0.1287201534934308,2022-23,home_mov,Base Elo,0.6637931034482759
-0.029698834138071575,0.7001471205224661,2022-23,point_spread,Base Elo,0.6637931034482759
