season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,endpoint,input_season,input_measure
2007-08,1610612740,NOH,New Orleans Hornets,0020701227,2008-04-16T00:00:00,NOH @ DAL,L,48.0,110.0,110.1,119.4,122.0,-9.4,-11.9,0.474,2.0,14.9,0.304,0.6,0.458,0.101,0.488,0.526,91.1,90.0,75.0,89,0.445,1,1231,1231,1231,129,891,2249,1939,2031,602,1723,1152,2235,1963,254,1356,1467,1729,1651,teamgamelogs,2007-08,Advanced
2007-08,1610612753,ORL,Orlando Magic,0020701218,2008-04-16T00:00:00,ORL vs. WAS,W,48.0,118.3,119.8,99.1,98.8,19.2,21.0,0.707,3.63,22.1,0.385,0.738,0.543,0.093,0.534,0.542,85.4,85.0,70.83,86,0.594,1,1,1,1,129,311,624,196,312,51,141,293,753,483,165,694,1217,2307,477,teamgamelogs,2007-08,Advanced
2007-08,1610612749,MIL,Milwaukee Bucks,0020701224,2008-04-16T00:00:00,MIL @ MIN,L,53.0,95.4,95.3,103.9,103.8,-8.5,-8.5,0.619,1.53,17.8,0.255,0.726,0.504,0.16,0.463,0.495,95.9,96.0,80.0,106,0.494,1,1231,1231,1231,21,2043,1047,1744,932,1268,917,1789,912,1174,1530,1737,1891,747,1274,teamgamelogs,2007-08,Advanced
2007-08,1610612762,UTA,Utah Jazz,0020701223,2008-04-16T00:00:00,UTA @ SAS,L,48.0,84.8,88.9,123.2,119.8,-38.5,-30.9,0.613,1.27,15.3,0.314,0.839,0.512,0.167,0.395,0.448,91.4,90.5,75.42,90,0.304,1,1231,1231,1231,129,2298,2151,2416,983,1695,1600,1013,68,971,1653,2323,2310,1643,2392,teamgamelogs,2007-08,Advanced
2007-08,1610612763,MEM,Memphis Grizzlies,0020701228,2008-04-16T00:00:00,MEM @ DEN,L,48.0,94.8,99.1,103.4,106.2,-8.5,-7.1,0.721,2.38,20.3,0.177,0.764,0.453,0.116,0.476,0.504,116.6,112.5,93.75,112,0.45,1,1231,1231,1231,129,1778,1244,1652,247,331,376,2341,487,2027,494,1545,1772,7,1620,teamgamelogs,2007-08,Advanced
2007-08,1610612766,CHA,Charlotte Bobcats,0020701217,2008-04-16T00:00:00,CHA vs. PHI,W,48.0,128.4,130.7,120.9,122.5,7.5,8.2,0.756,3.09,25.4,0.324,0.577,0.472,0.125,0.608,0.642,89.9,88.5,73.75,88,0.568,1,1,1,1,129,44,2267,743,139,121,14,897,2332,1745,656,138,130,1939,683,teamgamelogs,2007-08,Advanced
2007-08,1610612752,NYK,New York Knicks,0020701220,2008-04-16T00:00:00,NYK @ IND,L,48.0,105.2,110.8,116.6,120.0,-11.5,-9.2,0.5,1.62,13.8,0.339,0.689,0.486,0.117,0.451,0.521,115.1,110.5,92.08,111,0.416,1,1231,1231,1231,129,840,2161,1790,1852,1107,1972,733,1398,1506,512,1881,1536,9,1916,teamgamelogs,2007-08,Advanced
2007-08,1610612739,CLE,Cleveland Cavaliers,0020701219,2008-04-16T00:00:00,CLE vs. DET,L,48.0,87.0,89.2,98.9,100.0,-11.9,-10.8,0.5,1.3,11.0,0.379,0.642,0.505,0.12,0.329,0.398,85.0,83.5,69.58,83,0.426,1,1231,1231,1231,129,2293,685,1880,1852,1648,2348,331,1972,1170,576,2447,2440,2369,1836,teamgamelogs,2007-08,Advanced
2007-08,1610612760,SEA,Seattle SuperSonics,0020701230,2008-04-16T00:00:00,SEA @ GSW,W,48.0,119.2,116.7,112.0,112.0,7.2,4.6,0.615,2.29,21.1,0.286,0.662,0.514,0.13,0.58,0.608,106.9,108.0,90.0,108,0.588,1,1,1,1,129,454,1715,994,964,401,268,1380,1723,952,764,277,337,23,520,teamgamelogs,2007-08,Advanced
2007-08,1610612745,HOU,Houston Rockets,0020701226,2008-04-16T00:00:00,HOU vs. LAC,W,48.0,104.3,105.7,85.7,85.2,18.6,20.5,0.658,4.17,19.1,0.345,0.729,0.524,0.068,0.457,0.474,88.3,88.0,73.33,88,0.633,1,1,1,1,129,1261,73,203,625,28,597,640,860,767,32,1821,2123,2005,251,teamgamelogs,2007-08,Advanced
2007-08,1610612746,LAC,Los Angeles Clippers,0020701226,2008-04-16T00:00:00,LAC @ HOU,L,48.0,85.7,85.2,104.3,105.7,-18.6,-20.5,0.429,0.75,10.7,0.271,0.655,0.476,0.182,0.393,0.455,88.3,88.0,73.33,88,0.367,1,1231,1231,1231,129,2387,1195,2258,2248,2377,2373,1583,1815,1688,1963,2333,2271,2005,2210,teamgamelogs,2007-08,Advanced
