season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,endpoint,input_season,input_measure
2008-09,1610612737,ATL,Atlanta Hawks,0020801222,2009-04-15T00:00:00,ATL @ MEM,L,48.0,97.2,98.9,108.1,106.5,-10.9,-7.6,0.394,0.93,11.4,0.213,0.78,0.477,0.154,0.474,0.52,91.6,91.5,76.25,91,0.352,1,1231,1231,1231,141,1906,1179,1730,2339,2230,2315,2177,318,1679,1366,1629,1612,1367,2304,teamgamelogs,2008-09,Advanced
2008-09,1610612745,HOU,Houston Rockets,0020801220,2009-04-15T00:00:00,HOU @ DAL,L,48.0,89.4,92.3,105.1,104.4,-15.7,-12.1,0.576,1.73,16.0,0.22,0.81,0.489,0.121,0.427,0.467,92.1,91.0,75.83,91,0.431,1,1231,1231,1231,141,2230,989,2014,1102,886,1342,2128,153,1445,586,2169,2228,1457,1799,teamgamelogs,2008-09,Advanced
2008-09,1610612749,MIL,Milwaukee Bucks,0020801221,2009-04-15T00:00:00,MIL @ IND,L,48.0,104.2,106.9,115.9,112.7,-11.7,-5.8,0.682,2.73,20.1,0.322,0.667,0.471,0.109,0.466,0.497,101.4,101.5,84.58,101,0.439,1,1231,1231,1231,141,1242,1712,1578,335,167,291,921,1623,1781,375,1737,1938,161,1726,teamgamelogs,2008-09,Advanced
2008-09,1610612740,NOH,New Orleans Hornets,0020801227,2009-04-15T00:00:00,NOH @ SAS,L,53.0,101.8,104.3,106.3,110.5,-4.4,-6.3,0.487,1.9,16.1,0.114,0.674,0.4,0.106,0.525,0.549,88.3,85.58,71.32,94,0.468,1,1231,1231,1231,27,1482,1522,1615,1887,673,1298,2451,1570,2384,318,851,1162,2211,1472,teamgamelogs,2008-09,Advanced
2008-09,1610612751,NJN,New Jersey Nets,0020801225,2009-04-15T00:00:00,NJN @ NYK,L,48.0,79.9,82.0,112.5,112.1,-32.6,-30.1,0.462,0.6,9.7,0.397,0.633,0.505,0.225,0.337,0.4,91.0,90.0,75.0,89,0.269,1,1231,1231,1231,141,2425,1653,2410,2057,2438,2413,238,2004,1158,2364,2450,2444,1619,2436,teamgamelogs,2008-09,Advanced
2008-09,1610612738,BOS,Boston Celtics,0020801217,2009-04-15T00:00:00,BOS vs. WAS,W,48.0,115.5,118.6,111.2,111.5,4.3,7.1,0.644,1.81,20.4,0.362,0.78,0.557,0.165,0.588,0.602,97.9,96.5,80.42,97,0.542,1,1,1,1,141,350,1598,783,570,779,253,501,318,302,1638,201,429,605,896,teamgamelogs,2008-09,Advanced
2008-09,1610612758,SAC,Sacramento Kings,0020801224,2009-04-15T00:00:00,SAC @ MIN,W,48.0,106.2,107.8,99.6,100.0,6.6,7.8,0.529,1.2,15.3,0.25,0.652,0.456,0.167,0.507,0.562,90.8,90.0,75.0,90,0.564,1,1,1,1,141,1174,596,713,1556,1780,1571,1818,1817,2016,1656,1107,966,1619,703,teamgamelogs,2008-09,Advanced
2008-09,1610612764,WAS,Washington Wizards,0020801217,2009-04-15T00:00:00,WAS @ BOS,L,48.0,111.2,111.5,115.5,118.6,-4.3,-7.1,0.395,1.07,12.6,0.22,0.638,0.443,0.146,0.539,0.593,97.9,96.5,80.42,96,0.458,1,1231,1231,1231,141,854,2109,1678,2334,1977,2157,2136,1950,2155,1151,681,524,605,1564,teamgamelogs,2008-09,Advanced
2008-09,1610612752,NYK,New York Knicks,0020801225,2009-04-15T00:00:00,NYK vs. NJN,W,48.0,112.5,112.1,79.9,82.0,32.6,30.1,0.447,1.7,13.7,0.367,0.603,0.495,0.11,0.488,0.539,91.0,90.0,75.0,91,0.731,1,1,1,1,141,804,34,51,2133,933,1935,443,2221,1297,380,1393,1313,1619,25,teamgamelogs,2008-09,Advanced
2008-09,1610612765,DET,Detroit Pistons,0020801223,2009-04-15T00:00:00,DET @ MIA,L,53.0,105.9,105.5,110.4,110.9,-4.5,-5.4,0.361,1.86,10.7,0.321,0.625,0.462,0.077,0.425,0.477,82.9,82.87,69.06,91,0.451,1,1231,1231,1231,27,1375,1554,1537,2398,703,2370,926,2064,1922,62,2178,2150,2385,1631,teamgamelogs,2008-09,Advanced
2008-09,1610612759,SAS,San Antonio Spurs,0020801227,2009-04-15T00:00:00,SAS vs. NOH,W,53.0,106.3,110.5,101.8,104.3,4.4,6.3,0.476,1.43,15.4,0.326,0.886,0.6,0.147,0.529,0.56,88.3,85.58,71.32,95,0.532,1,1,1,1,27,933,974,846,1970,1359,1532,876,9,73,1192,806,1000,2211,988,teamgamelogs,2008-09,Advanced
