season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,endpoint,input_season,input_measure
2010-11,1610612756,PHX,Phoenix Suns,0021001229,2011-04-13T00:00:00,PHX vs. SAS,W,48.0,109.5,115.2,109.2,110.8,0.3,4.5,0.622,3.83,17.3,0.31,0.692,0.491,0.065,0.446,0.506,95.5,92.5,77.08,92,0.489,1,1,1,1,163,519,1602,995,841,29,1050,1070,1337,1423,18,1959,1777,1241,1302,teamgamelogs,2010-11,Advanced
2010-11,1610612745,HOU,Houston Rockets,0021001224,2011-04-13T00:00:00,HOU @ MIN,W,48.0,119.7,118.6,97.9,100.0,21.9,18.6,0.762,2.13,21.9,0.304,0.722,0.53,0.147,0.571,0.617,102.7,102.0,85.0,102,0.614,1,1,1,1,163,315,644,195,74,446,140,1148,959,663,1121,311,269,81,295,teamgamelogs,2010-11,Advanced
2010-11,1610612741,CHI,Chicago Bulls,0021001222,2011-04-13T00:00:00,CHI vs. NJN,W,48.0,109.1,109.0,100.0,104.5,9.2,4.4,0.676,1.77,17.8,0.404,0.711,0.554,0.146,0.475,0.534,90.5,88.5,73.75,89,0.522,1,1,1,1,163,988,1070,997,420,823,878,218,1107,318,1102,1591,1370,1937,1071,teamgamelogs,2010-11,Advanced
2010-11,1610612760,OKC,Oklahoma City Thunder,0021001225,2011-04-13T00:00:00,OKC vs. MIL,L,53.0,99.1,100.0,104.9,103.8,-5.7,-3.8,0.619,1.08,17.6,0.37,0.824,0.608,0.226,0.523,0.553,95.9,96.0,80.0,106,0.49,1,1231,1231,1231,19,1731,993,1407,861,1996,956,434,108,45,2384,867,1071,625,1301,teamgamelogs,2010-11,Advanced
2010-11,1610612766,CHA,Charlotte Bobcats,0021001217,2011-04-13T00:00:00,CHA vs. ATL,W,48.0,107.8,106.7,92.6,95.5,15.2,11.2,0.675,3.0,21.6,0.22,0.729,0.494,0.1,0.519,0.551,90.4,89.5,74.58,90,0.617,1,1,1,1,163,1194,400,495,452,98,163,2097,884,1375,204,920,1089,1801,284,teamgamelogs,2010-11,Advanced
2010-11,1610612758,SAC,Sacramento Kings,0021001230,2011-04-13T00:00:00,SAC vs. LAL,L,53.0,104.5,103.8,106.7,109.4,-2.2,-5.6,0.533,2.0,16.7,0.293,0.833,0.538,0.115,0.49,0.503,96.0,95.09,79.25,104,0.431,1,1231,1231,1231,19,1466,1505,1567,1625,523,1208,1299,78,533,416,1358,1819,775,1821,teamgamelogs,2010-11,Advanced
2010-11,1610612740,NOH,New Orleans Hornets,0021001223,2011-04-13T00:00:00,NOH @ DAL,L,48.0,93.2,94.7,126.1,127.4,-32.9,-32.7,0.676,1.64,18.7,0.152,0.811,0.446,0.149,0.468,0.515,95.7,94.5,78.75,94,0.327,1,1231,1231,1231,163,2091,2396,2435,420,1025,679,2401,161,2132,1156,1670,1657,865,2370,teamgamelogs,2010-11,Advanced
2010-11,1610612751,NJN,New Jersey Nets,0021001222,2011-04-13T00:00:00,NJN @ CHI,L,48.0,100.0,104.5,109.1,109.0,-9.2,-4.4,0.583,1.62,17.4,0.289,0.596,0.446,0.148,0.488,0.528,90.5,88.5,73.75,88,0.478,1,1231,1231,1231,163,1387,1469,1464,1170,1067,1018,1339,2237,2137,1137,1406,1446,1937,1389,teamgamelogs,2010-11,Advanced
2010-11,1610612750,MIN,Minnesota Timberwolves,0021001224,2011-04-13T00:00:00,MIN vs. HOU,L,48.0,97.9,100.0,119.7,118.6,-21.9,-18.6,0.488,1.33,14.6,0.278,0.696,0.47,0.147,0.467,0.504,102.7,102.0,85.0,102,0.386,1,1231,1231,1231,163,1731,2145,2266,1947,1562,1796,1494,1296,1792,1121,1686,1804,81,2166,teamgamelogs,2010-11,Advanced
2010-11,1610612742,DAL,Dallas Mavericks,0021001223,2011-04-13T00:00:00,DAL vs. NOH,W,48.0,126.1,127.4,93.2,94.7,32.9,32.7,0.8,2.29,24.1,0.189,0.848,0.554,0.147,0.637,0.688,95.7,94.5,78.75,95,0.673,1,1,1,1,163,64,359,26,20,350,29,2297,58,325,1126,52,32,865,91,teamgamelogs,2010-11,Advanced
