season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,endpoint,input_season,input_measure
2009-10,1610612747,LAL,Los Angeles Lakers,0020901215,2010-04-13T00:00:00,LAL vs. SAC,W,48.0,18.0,25.0,8.0,46.0,19.0,15.0,12.0,48.0,1,1,1,1,145,838,51,1927,696,1624,1532,953,1766,teamgamelogs,2009-10,Misc
2009-10,1610612748,MIA,Miami Heat,0020901203,2010-04-12T00:00:00,MIA @ PHI,W,48.0,6.0,8.0,10.0,44.0,12.0,9.0,19.0,30.0,1,1,1,1,145,2367,1988,1646,870,497,474,1868,197,teamgamelogs,2009-10,Misc
2009-10,1610612759,SAS,San Antonio Spurs,0020901208,2010-04-12T00:00:00,SAS vs. MIN,W,48.0,20.0,8.0,22.0,52.0,21.0,7.0,28.0,42.0,1,1,1,1,145,562,1988,284,301,1900,240,2350,1165,teamgamelogs,2009-10,Misc
2009-10,1610612743,DEN,Denver Nuggets,0020901209,2010-04-12T00:00:00,DEN vs. MEM,W,48.0,16.0,15.0,27.0,42.0,15.0,22.0,19.0,48.0,1,1,1,1,145,1141,777,112,1090,984,2285,1868,1766,teamgamelogs,2009-10,Misc
2009-10,1610612751,NJN,New Jersey Nets,0020901205,2010-04-12T00:00:00,NJN vs. CHA,L,48.0,17.0,22.0,18.0,52.0,18.0,11.0,19.0,50.0,1,1231,1231,1231,145,983,125,594,301,1479,766,1868,1926,teamgamelogs,2009-10,Misc
2009-10,1610612755,PHI,Philadelphia 76ers,0020901203,2010-04-12T00:00:00,PHI vs. MIA,L,48.0,12.0,9.0,19.0,30.0,6.0,8.0,10.0,44.0,1,1231,1231,1231,145,1817,1867,501,2172,50,327,658,1372,teamgamelogs,2009-10,Misc
2009-10,1610612742,DAL,Dallas Mavericks,0020901212,2010-04-12T00:00:00,DAL @ LAC,W,48.0,19.0,13.0,16.0,42.0,13.0,14.0,4.0,44.0,1,1,1,1,145,700,1111,787,1090,645,1351,83,1372,teamgamelogs,2009-10,Misc
2009-10,1610612766,CHA,Charlotte Bobcats,0020901205,2010-04-12T00:00:00,CHA @ NJN,W,48.0,18.0,11.0,19.0,50.0,17.0,22.0,18.0,52.0,1,1,1,1,145,838,1514,501,413,1321,2285,1783,2049,teamgamelogs,2009-10,Misc
2009-10,1610612758,SAC,Sacramento Kings,0020901211,2010-04-12T00:00:00,SAC vs. HOU,L,48.0,28.0,12.0,19.0,46.0,13.0,8.0,19.0,48.0,1,1231,1231,1231,145,69,1312,501,696,645,327,1868,1766,teamgamelogs,2009-10,Misc
2009-10,1610612761,TOR,Toronto Raptors,0020901204,2010-04-12T00:00:00,TOR @ DET,W,48.0,13.0,6.0,5.0,40.0,19.0,6.0,15.0,44.0,1,1,1,1,145,1651,2222,2252,1297,1624,120,1400,1372,teamgamelogs,2009-10,Misc
2009-10,1610612752,NYK,New York Knicks,0020901206,2010-04-12T00:00:00,NYK vs. WAS,W,48.0,21.0,18.0,6.0,46.0,12.0,7.0,12.0,52.0,1,1,1,1,145,441,404,2128,696,497,240,953,2049,teamgamelogs,2009-10,Misc
2009-10,1610612749,MIL,Milwaukee Bucks,0020901207,2010-04-12T00:00:00,MIL vs. ATL,L,48.0,13.0,14.0,6.0,20.0,8.0,13.0,9.0,52.0,1,1231,1231,1231,145,1651,930,2128,2440,142,1150,535,2049,teamgamelogs,2009-10,Misc
2009-10,1610612745,HOU,Houston Rockets,0020901211,2010-04-12T00:00:00,HOU @ SAC,W,48.0,13.0,8.0,19.0,48.0,28.0,12.0,19.0,46.0,1,1,1,1,145,1651,1988,501,536,2368,948,1868,1592,teamgamelogs,2009-10,Misc
2009-10,1610612750,MIN,Minnesota Timberwolves,0020901208,2010-04-12T00:00:00,MIN @ SAS,L,48.0,21.0,7.0,28.0,42.0,20.0,8.0,22.0,52.0,1,1231,1231,1231,145,441,2135,89,1090,1762,327,2112,2049,teamgamelogs,2009-10,Misc
2009-10,1610612764,WAS,Washington Wizards,0020901206,2010-04-12T00:00:00,WAS @ NYK,L,48.0,12.0,7.0,12.0,52.0,21.0,18.0,6.0,46.0,1,1231,1231,1231,145,1817,2135,1344,301,1900,1943,210,1592,teamgamelogs,2009-10,Misc
2009-10,1610612760,OKC,Oklahoma City Thunder,0020901210,2010-04-12T00:00:00,OKC @ POR,L,48.0,10.0,4.0,13.0,40.0,27.0,18.0,16.0,60.0,1,1231,1231,1231,145,2069,2378,1209,1297,2336,1943,1523,2350,teamgamelogs,2009-10,Misc
2009-10,1610612737,ATL,Atlanta Hawks,0020901207,2010-04-12T00:00:00,ATL @ MIL,W,48.0,8.0,13.0,9.0,52.0,13.0,14.0,6.0,20.0,1,1,1,1,145,2243,1111,1804,301,645,1351,210,11,teamgamelogs,2009-10,Misc
2009-10,1610612754,IND,Indiana Pacers,0020901202,2010-04-12T00:00:00,IND vs. ORL,L,48.0,20.0,2.0,16.0,40.0,20.0,17.0,12.0,36.0,1,1231,1231,1231,145,562,2429,787,1297,1762,1817,953,584,teamgamelogs,2009-10,Misc
2009-10,1610612765,DET,Detroit Pistons,0020901204,2010-04-12T00:00:00,DET vs. TOR,L,48.0,19.0,6.0,15.0,44.0,13.0,6.0,5.0,40.0,1,1231,1231,1231,145,700,2222,939,870,645,120,157,941,teamgamelogs,2009-10,Misc
2009-10,1610612757,POR,Portland Trail Blazers,0020901210,2010-04-12T00:00:00,POR vs. OKC,W,48.0,27.0,18.0,16.0,60.0,10.0,4.0,13.0,40.0,1,1,1,1,145,94,404,787,71,303,45,1118,941,teamgamelogs,2009-10,Misc
2009-10,1610612763,MEM,Memphis Grizzlies,0020901209,2010-04-12T00:00:00,MEM @ DEN,L,48.0,15.0,22.0,19.0,48.0,16.0,15.0,27.0,42.0,1,1231,1231,1231,145,1314,125,501,536,1148,1532,2318,1165,teamgamelogs,2009-10,Misc
2009-10,1610612746,LAC,Los Angeles Clippers,0020901212,2010-04-12T00:00:00,LAC vs. DAL,L,48.0,13.0,14.0,4.0,44.0,19.0,13.0,16.0,42.0,1,1231,1231,1231,145,1651,930,2305,870,1624,1150,1523,1165,teamgamelogs,2009-10,Misc
2009-10,1610612753,ORL,Orlando Magic,0020901202,2010-04-12T00:00:00,ORL @ IND,W,48.0,20.0,17.0,12.0,36.0,20.0,2.0,16.0,40.0,1,1,1,1,145,562,519,1344,1694,1762,15,1523,941,teamgamelogs,2009-10,Misc
2009-10,1610612761,TOR,Toronto Raptors,0020901197,2010-04-11T00:00:00,TOR vs. CHI,L,48.0,14.0,10.0,23.0,42.0,6.0,12.0,25.0,44.0,1,1231,1231,1231,145,1478,1696,238,1090,50,948,2262,1372,teamgamelogs,2009-10,Misc
2009-10,1610612748,MIA,Miami Heat,0020901199,2010-04-11T00:00:00,MIA @ NYK,W,48.0,20.0,16.0,2.0,40.0,13.0,5.0,6.0,36.0,1,1,1,1,145,562,645,2411,1297,645,84,210,584,teamgamelogs,2009-10,Misc
2009-10,1610612753,ORL,Orlando Magic,0020901195,2010-04-11T00:00:00,ORL @ CLE,W,48.0,21.0,9.0,15.0,46.0,21.0,14.0,15.0,32.0,1,1,1,1,145,441,1867,939,696,1900,1351,1400,290,teamgamelogs,2009-10,Misc
2009-10,1610612744,GSW,Golden State Warriors,0020901200,2010-04-11T00:00:00,GSW vs. OKC,W,48.0,16.0,14.0,26.0,46.0,14.0,19.0,26.0,58.0,1,1,1,1,145,1141,930,144,696,811,2058,2288,2300,teamgamelogs,2009-10,Misc
2009-10,1610612741,CHI,Chicago Bulls,0020901197,2010-04-11T00:00:00,CHI @ TOR,W,48.0,6.0,12.0,25.0,44.0,14.0,10.0,23.0,42.0,1,1,1,1,145,2367,1312,174,870,811,595,2178,1165,teamgamelogs,2009-10,Misc
2009-10,1610612745,HOU,Houston Rockets,0020901201,2010-04-11T00:00:00,HOU @ PHX,L,48.0,9.0,16.0,21.0,38.0,19.0,12.0,15.0,48.0,1,1231,1231,1231,145,2159,645,350,1521,1624,948,1400,1766,teamgamelogs,2009-10,Misc
2009-10,1610612756,PHX,Phoenix Suns,0020901201,2010-04-11T00:00:00,PHX vs. HOU,W,48.0,19.0,12.0,15.0,48.0,9.0,16.0,21.0,38.0,1,1,1,1,145,700,1312,939,536,219,1685,2045,768,teamgamelogs,2009-10,Misc
2009-10,1610612740,NOH,New Orleans Hornets,0020901198,2010-04-11T00:00:00,NOH vs. MIN,W,48.0,21.0,18.0,23.0,70.0,14.0,8.0,6.0,32.0,1,1,1,1,145,441,404,238,8,811,327,210,290,teamgamelogs,2009-10,Misc
2009-10,1610612760,OKC,Oklahoma City Thunder,0020901200,2010-04-11T00:00:00,OKC @ GSW,L,48.0,14.0,19.0,26.0,58.0,16.0,14.0,26.0,46.0,1,1231,1231,1231,145,1478,300,144,112,1148,1351,2288,1592,teamgamelogs,2009-10,Misc
2009-10,1610612747,LAL,Los Angeles Lakers,0020901196,2010-04-11T00:00:00,LAL vs. POR,L,48.0,13.0,18.0,10.0,46.0,8.0,16.0,3.0,40.0,1,1231,1231,1231,145,1651,404,1646,696,142,1685,51,941,teamgamelogs,2009-10,Misc
2009-10,1610612757,POR,Portland Trail Blazers,0020901196,2010-04-11T00:00:00,POR @ LAL,W,48.0,8.0,16.0,3.0,40.0,13.0,18.0,10.0,46.0,1,1,1,1,145,2243,645,2379,1297,645,1943,658,1592,teamgamelogs,2009-10,Misc
2009-10,1610612752,NYK,New York Knicks,0020901199,2010-04-11T00:00:00,NYK vs. MIA,L,48.0,13.0,5.0,6.0,36.0,20.0,16.0,2.0,40.0,1,1231,1231,1231,145,1651,2342,2128,1694,1762,1685,12,941,teamgamelogs,2009-10,Misc
2009-10,1610612739,CLE,Cleveland Cavaliers,0020901195,2010-04-11T00:00:00,CLE vs. ORL,L,48.0,21.0,14.0,15.0,32.0,21.0,9.0,15.0,46.0,1,1231,1231,1231,145,441,930,939,2041,1900,474,1400,1592,teamgamelogs,2009-10,Misc
2009-10,1610612750,MIN,Minnesota Timberwolves,0020901198,2010-04-11T00:00:00,MIN @ NOH,L,48.0,14.0,8.0,6.0,32.0,21.0,18.0,23.0,70.0,1,1231,1231,1231,145,1478,1988,2128,2041,1900,1943,2178,2447,teamgamelogs,2009-10,Misc
2009-10,1610612737,ATL,Atlanta Hawks,0020901189,2010-04-10T00:00:00,ATL @ WAS,W,48.0,16.0,13.0,15.0,44.0,8.0,15.0,12.0,36.0,1,1,1,1,145,1141,1111,939,870,142,1532,953,584,teamgamelogs,2009-10,Misc
2009-10,1610612759,SAS,San Antonio Spurs,0020901192,2010-04-10T00:00:00,SAS @ DEN,W,48.0,22.0,10.0,15.0,32.0,18.0,7.0,15.0,28.0,1,1,1,1,145,349,1696,939,2041,1479,240,1400,132,teamgamelogs,2009-10,Misc
2009-10,1610612743,DEN,Denver Nuggets,0020901192,2010-04-10T00:00:00,DEN vs. SAS,L,48.0,18.0,7.0,15.0,28.0,22.0,10.0,15.0,32.0,1,1231,1231,1231,145,838,2135,939,2265,2021,595,1400,290,teamgamelogs,2009-10,Misc
2009-10,1610612746,LAC,Los Angeles Clippers,0020901194,2010-04-10T00:00:00,LAC vs. GSW,W,48.0,11.0,15.0,12.0,52.0,22.0,12.0,6.0,32.0,1,1,1,1,145,1965,777,1344,301,2021,948,210,290,teamgamelogs,2009-10,Misc
2009-10,1610612765,DET,Detroit Pistons,0020901187,2010-04-10T00:00:00,DET @ CHA,L,48.0,14.0,12.0,18.0,48.0,15.0,12.0,7.0,36.0,1,1231,1231,1231,145,1478,1312,594,536,984,948,334,584,teamgamelogs,2009-10,Misc
2009-10,1610612744,GSW,Golden State Warriors,0020901194,2010-04-10T00:00:00,GSW @ LAC,L,48.0,22.0,12.0,6.0,32.0,11.0,15.0,12.0,52.0,1,1231,1231,1231,145,349,1312,2128,2041,393,1532,953,2049,teamgamelogs,2009-10,Misc
2009-10,1610612751,NJN,New Jersey Nets,0020901188,2010-04-10T00:00:00,NJN @ IND,L,48.0,14.0,12.0,14.0,44.0,28.0,11.0,12.0,60.0,1,1231,1231,1231,145,1478,1312,1062,870,2368,766,953,2350,teamgamelogs,2009-10,Misc
2009-10,1610612738,BOS,Boston Celtics,0020901191,2010-04-10T00:00:00,BOS @ MIL,W,48.0,18.0,12.0,10.0,40.0,7.0,11.0,3.0,28.0,1,1,1,1,145,838,1312,1646,1297,95,766,51,132,teamgamelogs,2009-10,Misc
2009-10,1610612742,DAL,Dallas Mavericks,0020901193,2010-04-10T00:00:00,DAL @ SAC,W,48.0,17.0,8.0,16.0,32.0,18.0,21.0,20.0,48.0,1,1,1,1,145,983,1988,787,2041,1479,2236,1961,1766,teamgamelogs,2009-10,Misc
2009-10,1610612755,PHI,Philadelphia 76ers,0020901190,2010-04-10T00:00:00,PHI @ MEM,W,48.0,17.0,11.0,33.0,50.0,16.0,11.0,20.0,52.0,1,1,1,1,145,983,1514,29,413,1148,766,1961,2049,teamgamelogs,2009-10,Misc
2009-10,1610612766,CHA,Charlotte Bobcats,0020901187,2010-04-10T00:00:00,CHA vs. DET,W,48.0,15.0,12.0,7.0,36.0,14.0,12.0,18.0,48.0,1,1,1,1,145,1314,1312,2052,1694,811,948,1783,1766,teamgamelogs,2009-10,Misc
2009-10,1610612754,IND,Indiana Pacers,0020901188,2010-04-10T00:00:00,IND vs. NJN,W,48.0,28.0,11.0,12.0,60.0,14.0,12.0,14.0,44.0,1,1,1,1,145,69,1514,1344,71,811,948,1253,1372,teamgamelogs,2009-10,Misc
2009-10,1610612763,MEM,Memphis Grizzlies,0020901190,2010-04-10T00:00:00,MEM vs. PHI,L,48.0,16.0,11.0,20.0,52.0,17.0,11.0,33.0,50.0,1,1231,1231,1231,145,1141,1514,417,301,1321,766,2429,1926,teamgamelogs,2009-10,Misc
2009-10,1610612764,WAS,Washington Wizards,0020901189,2010-04-10T00:00:00,WAS vs. ATL,L,48.0,8.0,15.0,12.0,36.0,16.0,13.0,15.0,44.0,1,1231,1231,1231,145,2243,777,1344,1694,1148,1150,1400,1372,teamgamelogs,2009-10,Misc
2009-10,1610612749,MIL,Milwaukee Bucks,0020901191,2010-04-10T00:00:00,MIL vs. BOS,L,48.0,7.0,11.0,3.0,28.0,18.0,12.0,10.0,40.0,1,1231,1231,1231,145,2320,1514,2379,2265,1479,948,658,941,teamgamelogs,2009-10,Misc
2009-10,1610612758,SAC,Sacramento Kings,0020901193,2010-04-10T00:00:00,SAC vs. DAL,L,48.0,18.0,21.0,20.0,48.0,17.0,8.0,16.0,32.0,1,1231,1231,1231,145,838,177,417,536,1321,327,1523,290,teamgamelogs,2009-10,Misc
2009-10,1610612756,PHX,Phoenix Suns,0020901183,2010-04-09T00:00:00,PHX @ OKC,L,48.0,9.0,12.0,8.0,46.0,17.0,16.0,26.0,48.0,1,1231,1231,1231,145,2159,1312,1927,696,1321,1685,2288,1766,teamgamelogs,2009-10,Misc
2009-10,1610612739,CLE,Cleveland Cavaliers,0020901178,2010-04-09T00:00:00,CLE vs. IND,L,48.0,18.0,17.0,12.0,46.0,16.0,6.0,24.0,46.0,1,1231,1231,1231,145,838,519,1344,696,1148,120,2224,1592,teamgamelogs,2009-10,Misc
2009-10,1610612752,NYK,New York Knicks,0020901174,2010-04-09T00:00:00,NYK @ ORL,L,48.0,8.0,15.0,8.0,30.0,13.0,28.0,5.0,50.0,1,1231,1231,1231,145,2243,777,1927,2172,645,2441,157,1926,teamgamelogs,2009-10,Misc
2009-10,1610612749,MIL,Milwaukee Bucks,0020901175,2010-04-09T00:00:00,MIL @ PHI,W,48.0,21.0,0.0,10.0,24.0,17.0,10.0,28.0,34.0,1,1,1,1,145,441,2450,1646,2394,1321,595,2350,421,teamgamelogs,2009-10,Misc
2009-10,1610612742,DAL,Dallas Mavericks,0020901186,2010-04-09T00:00:00,DAL @ POR,W,48.0,16.0,5.0,10.0,18.0,12.0,7.0,13.0,36.0,1,1,1,1,145,1141,2342,1646,2451,497,240,1118,584,teamgamelogs,2009-10,Misc
2009-10,1610612748,MIA,Miami Heat,0020901179,2010-04-09T00:00:00,MIA vs. DET,L,48.0,14.0,15.0,2.0,46.0,23.0,14.0,10.0,36.0,1,1231,1231,1231,145,1478,777,2411,696,2113,1351,658,584,teamgamelogs,2009-10,Misc
2009-10,1610612747,LAL,Los Angeles Lakers,0020901180,2010-04-09T00:00:00,LAL @ MIN,W,48.0,19.0,20.0,9.0,38.0,12.0,21.0,2.0,38.0,1,1,1,1,145,700,226,1804,1521,497,2236,12,768,teamgamelogs,2009-10,Misc
2009-10,1610612750,MIN,Minnesota Timberwolves,0020901180,2010-04-09T00:00:00,MIN vs. LAL,L,48.0,12.0,21.0,2.0,38.0,19.0,20.0,9.0,38.0,1,1231,1231,1231,145,1817,177,2411,1521,1624,2162,535,768,teamgamelogs,2009-10,Misc
2009-10,1610612761,TOR,Toronto Raptors,0020901176,2010-04-09T00:00:00,TOR @ ATL,L,48.0,13.0,16.0,18.0,54.0,12.0,24.0,13.0,40.0,1,1231,1231,1231,145,1651,645,594,221,497,2371,1118,941,teamgamelogs,2009-10,Misc
2009-10,1610612738,BOS,Boston Celtics,0020901177,2010-04-09T00:00:00,BOS vs. WAS,L,48.0,26.0,18.0,10.0,44.0,17.0,14.0,11.0,42.0,1,1231,1231,1231,145,126,404,1646,870,1321,1351,816,1165,teamgamelogs,2009-10,Misc
