season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,endpoint,input_season,input_measure
2009-10,1610612741,CHI,Chicago Bulls,0020901219,2010-04-14T00:00:00,CHI @ CHA,W,48.0,15.0,19.0,13.0,40.0,20.0,17.0,15.0,44.0,1,1,1,1,145,1314,300,1209,1297,1762,1817,1400,1372,teamgamelogs,2009-10,Misc
2009-10,1610612745,HOU,Houston Rockets,0020901221,2010-04-14T00:00:00,HOU vs. NOH,L,48.0,19.0,14.0,24.0,60.0,15.0,10.0,18.0,56.0,1,1231,1231,1231,145,700,930,200,71,984,595,1783,2241,teamgamelogs,2009-10,Misc
2009-10,1610612740,NOH,New Orleans Hornets,0020901221,2010-04-14T00:00:00,NOH @ HOU,W,48.0,15.0,10.0,18.0,56.0,19.0,14.0,24.0,60.0,1,1,1,1,145,1314,1696,594,162,1624,1351,2224,2350,teamgamelogs,2009-10,Misc
2009-10,1610612763,MEM,Memphis Grizzlies,0020901224,2010-04-14T00:00:00,MEM @ OKC,L,48.0,19.0,18.0,30.0,58.0,15.0,8.0,18.0,44.0,1,1231,1231,1231,145,700,404,55,112,984,327,1783,1372,teamgamelogs,2009-10,Misc
2009-10,1610612737,ATL,Atlanta Hawks,0020901217,2010-04-14T00:00:00,ATL vs. CLE,W,48.0,16.0,7.0,20.0,48.0,24.0,14.0,22.0,38.0,1,1,1,1,145,1141,2135,417,536,2192,1351,2112,768,teamgamelogs,2009-10,Misc
2009-10,1610612747,LAL,Los Angeles Lakers,0020901228,2010-04-14T00:00:00,LAL @ LAC,L,48.0,8.0,17.0,8.0,36.0,18.0,7.0,29.0,48.0,1,1231,1231,1231,145,2243,519,1927,1694,1479,240,2373,1766,teamgamelogs,2009-10,Misc
2009-10,1610612742,DAL,Dallas Mavericks,0020901220,2010-04-14T00:00:00,DAL vs. SAS,W,48.0,13.0,9.0,19.0,34.0,15.0,9.0,14.0,42.0,1,1,1,1,145,1651,1867,501,1878,984,474,1253,1165,teamgamelogs,2009-10,Misc
2009-10,1610612750,MIN,Minnesota Timberwolves,0020901223,2010-04-14T00:00:00,MIN vs. DET,L,48.0,22.0,12.0,20.0,54.0,16.0,11.0,10.0,38.0,1,1231,1231,1231,145,349,1312,417,221,1148,766,658,768,teamgamelogs,2009-10,Misc
2009-10,1610612764,WAS,Washington Wizards,0020901227,2010-04-14T00:00:00,WAS vs. IND,W,48.0,18.0,4.0,16.0,40.0,20.0,19.0,16.0,44.0,1,1,1,1,145,838,2378,787,1297,1762,2058,1523,1372,teamgamelogs,2009-10,Misc
2009-10,1610612756,PHX,Phoenix Suns,0020901230,2010-04-14T00:00:00,PHX @ UTA,W,48.0,22.0,8.0,17.0,34.0,11.0,11.0,18.0,32.0,1,1,1,1,145,349,1988,679,1878,393,766,1783,290,teamgamelogs,2009-10,Misc
2009-10,1610612744,GSW,Golden State Warriors,0020901229,2010-04-14T00:00:00,GSW @ POR,W,48.0,23.0,2.0,13.0,40.0,6.0,17.0,9.0,42.0,1,1,1,1,145,270,2429,1209,1297,50,1817,535,1165,teamgamelogs,2009-10,Misc
2009-10,1610612739,CLE,Cleveland Cavaliers,0020901217,2010-04-14T00:00:00,CLE @ ATL,L,48.0,24.0,14.0,22.0,38.0,16.0,7.0,20.0,48.0,1,1231,1231,1231,145,212,930,284,1521,1148,240,1961,1766,teamgamelogs,2009-10,Misc
2009-10,1610612760,OKC,Oklahoma City Thunder,0020901224,2010-04-14T00:00:00,OKC vs. MEM,W,48.0,15.0,8.0,18.0,44.0,19.0,18.0,30.0,58.0,1,1,1,1,145,1314,1988,594,870,1624,1943,2390,2300,teamgamelogs,2009-10,Misc
2009-10,1610612766,CHA,Charlotte Bobcats,0020901219,2010-04-14T00:00:00,CHA vs. CHI,L,48.0,20.0,17.0,15.0,44.0,15.0,19.0,13.0,40.0,1,1231,1231,1231,145,562,519,939,870,984,2058,1118,941,teamgamelogs,2009-10,Misc
2009-10,1610612757,POR,Portland Trail Blazers,0020901229,2010-04-14T00:00:00,POR vs. GSW,L,48.0,6.0,17.0,9.0,42.0,23.0,2.0,13.0,40.0,1,1231,1231,1231,145,2367,519,1804,1090,2113,15,1118,941,teamgamelogs,2009-10,Misc
2009-10,1610612749,MIL,Milwaukee Bucks,0020901218,2010-04-14T00:00:00,MIL @ BOS,W,48.0,6.0,13.0,5.0,28.0,12.0,13.0,15.0,44.0,1,1,1,1,145,2367,1111,2252,2265,497,1150,1400,1372,teamgamelogs,2009-10,Misc
2009-10,1610612765,DET,Detroit Pistons,0020901223,2010-04-14T00:00:00,DET @ MIN,W,48.0,16.0,11.0,10.0,38.0,22.0,12.0,20.0,54.0,1,1,1,1,145,1141,1514,1646,1521,2021,948,1961,2161,teamgamelogs,2009-10,Misc
2009-10,1610612754,IND,Indiana Pacers,0020901227,2010-04-14T00:00:00,IND @ WAS,L,48.0,20.0,19.0,16.0,44.0,18.0,4.0,16.0,40.0,1,1231,1231,1231,145,562,300,787,870,1479,45,1523,941,teamgamelogs,2009-10,Misc
2009-10,1610612755,PHI,Philadelphia 76ers,0020901225,2010-04-14T00:00:00,PHI @ ORL,L,48.0,14.0,11.0,21.0,52.0,9.0,17.0,7.0,46.0,1,1231,1231,1231,145,1478,1514,350,301,219,1817,334,1592,teamgamelogs,2009-10,Misc
2009-10,1610612748,MIA,Miami Heat,0020901222,2010-04-14T00:00:00,MIA vs. NJN,W,58.0,25.0,13.0,9.0,32.0,4.0,17.0,9.0,34.0,1,1,1,1,3,159,1111,1804,2041,15,1817,535,421,teamgamelogs,2009-10,Misc
2009-10,1610612753,ORL,Orlando Magic,0020901225,2010-04-14T00:00:00,ORL vs. PHI,W,48.0,9.0,17.0,7.0,46.0,14.0,11.0,21.0,52.0,1,1,1,1,145,2159,519,2052,696,811,766,2045,2049,teamgamelogs,2009-10,Misc
2009-10,1610612762,UTA,Utah Jazz,0020901230,2010-04-14T00:00:00,UTA vs. PHX,L,48.0,11.0,11.0,18.0,32.0,22.0,8.0,17.0,34.0,1,1231,1231,1231,145,1965,1514,594,2041,2021,327,1675,421,teamgamelogs,2009-10,Misc
2009-10,1610612759,SAS,San Antonio Spurs,0020901220,2010-04-14T00:00:00,SAS @ DAL,L,48.0,15.0,9.0,14.0,42.0,13.0,9.0,19.0,34.0,1,1231,1231,1231,145,1314,1867,1062,1090,645,474,1868,421,teamgamelogs,2009-10,Misc
2009-10,1610612738,BOS,Boston Celtics,0020901218,2010-04-14T00:00:00,BOS vs. MIL,L,48.0,12.0,13.0,15.0,44.0,6.0,13.0,5.0,28.0,1,1231,1231,1231,145,1817,1111,939,870,50,1150,157,132,teamgamelogs,2009-10,Misc
2009-10,1610612761,TOR,Toronto Raptors,0020901226,2010-04-14T00:00:00,TOR vs. NYK,W,48.0,18.0,11.0,30.0,62.0,13.0,20.0,20.0,28.0,1,1,1,1,145,838,1514,55,50,645,2162,1961,132,teamgamelogs,2009-10,Misc
2009-10,1610612751,NJN,New Jersey Nets,0020901222,2010-04-14T00:00:00,NJN @ MIA,L,58.0,4.0,17.0,9.0,34.0,25.0,13.0,9.0,32.0,1,1231,1231,1231,3,2430,519,1804,1878,2250,1150,535,290,teamgamelogs,2009-10,Misc
2009-10,1610612752,NYK,New York Knicks,0020901226,2010-04-14T00:00:00,NYK @ TOR,L,48.0,13.0,20.0,20.0,28.0,18.0,11.0,30.0,62.0,1,1231,1231,1231,145,1651,226,417,2265,1479,766,2390,2391,teamgamelogs,2009-10,Misc
2009-10,1610612746,LAC,Los Angeles Clippers,0020901228,2010-04-14T00:00:00,LAC vs. LAL,W,48.0,18.0,7.0,29.0,48.0,8.0,17.0,8.0,36.0,1,1,1,1,145,838,2135,72,536,142,1817,410,584,teamgamelogs,2009-10,Misc
2009-10,1610612743,DEN,Denver Nuggets,0020901216,2010-04-13T00:00:00,DEN @ PHX,L,48.0,15.0,14.0,12.0,56.0,12.0,10.0,21.0,46.0,1,1231,1231,1231,145,1314,930,1344,162,497,595,2045,1592,teamgamelogs,2009-10,Misc
2009-10,1610612762,UTA,Utah Jazz,0020901214,2010-04-13T00:00:00,UTA @ GSW,W,48.0,19.0,13.0,24.0,48.0,21.0,9.0,27.0,34.0,1,1,1,1,145,700,1111,200,536,1900,474,2318,421,teamgamelogs,2009-10,Misc
2009-10,1610612758,SAC,Sacramento Kings,0020901215,2010-04-13T00:00:00,SAC @ LAL,L,48.0,19.0,15.0,12.0,48.0,18.0,25.0,8.0,46.0,1,1231,1231,1231,145,700,777,1344,536,1479,2395,410,1592,teamgamelogs,2009-10,Misc
2009-10,1610612744,GSW,Golden State Warriors,0020901214,2010-04-13T00:00:00,GSW vs. UTA,L,48.0,21.0,9.0,27.0,34.0,19.0,13.0,24.0,48.0,1,1231,1231,1231,145,441,1867,112,1878,1624,1150,2224,1766,teamgamelogs,2009-10,Misc
2009-10,1610612741,CHI,Chicago Bulls,0020901213,2010-04-13T00:00:00,CHI vs. BOS,W,48.0,12.0,7.0,15.0,42.0,9.0,5.0,14.0,42.0,1,1,1,1,145,1817,2135,939,1090,219,84,1253,1165,teamgamelogs,2009-10,Misc
2009-10,1610612756,PHX,Phoenix Suns,0020901216,2010-04-13T00:00:00,PHX vs. DEN,W,48.0,12.0,10.0,21.0,46.0,15.0,14.0,12.0,56.0,1,1,1,1,145,1817,1696,350,696,984,1351,953,2241,teamgamelogs,2009-10,Misc
2009-10,1610612738,BOS,Boston Celtics,0020901213,2010-04-13T00:00:00,BOS @ CHI,L,48.0,9.0,5.0,14.0,42.0,12.0,7.0,15.0,42.0,1,1231,1231,1231,145,2159,2342,1062,1090,497,240,1400,1165,teamgamelogs,2009-10,Misc
