season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,endpoint,input_season,input_measure
2008-09,1610612737,ATL,Atlanta Hawks,0020801222,2009-04-15T00:00:00,ATL @ MEM,L,48.0,0.474,0.316,0.154,0.213,0.527,0.425,0.12,0.22,1,1231,1231,1231,141,1629,1092,1366,2177,1635,2122,1881,318,teamgamelogs,2008-09,Four Factors
2008-09,1610612738,BOS,Boston Celtics,0020801217,2009-04-15T00:00:00,BOS vs. WAS,W,48.0,0.588,0.282,0.165,0.362,0.539,0.39,0.146,0.22,1,1,1,1,141,201,1384,1638,501,1774,1924,1300,318,teamgamelogs,2008-09,Four Factors
2008-09,1610612754,IND,Indiana Pacers,0020801221,2009-04-15T00:00:00,IND vs. MIL,W,48.0,0.549,0.366,0.176,0.333,0.466,0.147,0.109,0.322,1,1,1,1,141,553,691,1859,751,724,102,2082,1536,teamgamelogs,2008-09,Four Factors
2008-09,1610612748,MIA,Miami Heat,0020801223,2009-04-15T00:00:00,MIA vs. DET,W,53.0,0.536,0.226,0.163,0.375,0.425,0.356,0.077,0.321,1,1,1,1,27,723,1885,1591,377,280,1705,2397,1527,teamgamelogs,2008-09,Four Factors
2008-09,1610612766,CHA,Charlotte Bobcats,0020801226,2009-04-15T00:00:00,CHA @ ORL,L,48.0,0.368,0.5,0.151,0.217,0.519,0.272,0.092,0.28,1,1231,1231,1231,141,2425,123,1296,2151,1504,975,2285,1012,teamgamelogs,2008-09,Four Factors
2008-09,1610612740,NOH,New Orleans Hornets,0020801227,2009-04-15T00:00:00,NOH @ SAS,L,53.0,0.525,0.263,0.106,0.114,0.529,0.235,0.147,0.326,1,1231,1231,1231,27,851,1575,318,2451,1651,638,1251,1570,teamgamelogs,2008-09,Four Factors
2008-09,1610612739,CLE,Cleveland Cavaliers,0020801219,2009-04-15T00:00:00,CLE vs. PHI,L,53.0,0.573,0.135,0.186,0.378,0.549,0.597,0.165,0.395,1,1231,1231,1231,27,315,2394,1998,357,1904,2438,811,2206,teamgamelogs,2008-09,Four Factors
2008-09,1610612765,DET,Detroit Pistons,0020801223,2009-04-15T00:00:00,DET @ MIA,L,53.0,0.425,0.356,0.077,0.321,0.536,0.226,0.163,0.375,1,1231,1231,1231,27,2178,755,62,926,1728,570,857,2064,teamgamelogs,2008-09,Four Factors
2008-09,1610612758,SAC,Sacramento Kings,0020801224,2009-04-15T00:00:00,SAC @ MIN,W,48.0,0.507,0.378,0.167,0.25,0.467,0.368,0.167,0.348,1,1,1,1,141,1107,605,1656,1818,738,1783,771,1817,teamgamelogs,2008-09,Four Factors
2008-09,1610612761,TOR,Toronto Raptors,0020801218,2009-04-15T00:00:00,TOR @ CHI,W,48.0,0.5,0.228,0.133,0.367,0.44,0.239,0.071,0.218,1,1,1,1,141,1175,1869,846,443,400,669,2420,311,teamgamelogs,2008-09,Four Factors
2008-09,1610612764,WAS,Washington Wizards,0020801217,2009-04-15T00:00:00,WAS @ BOS,L,48.0,0.539,0.39,0.146,0.22,0.588,0.282,0.165,0.362,1,1231,1231,1231,141,681,532,1151,2136,2259,1070,811,1950,teamgamelogs,2008-09,Four Factors
2008-09,1610612742,DAL,Dallas Mavericks,0020801220,2009-04-15T00:00:00,DAL vs. HOU,W,48.0,0.519,0.247,0.121,0.19,0.427,0.22,0.121,0.22,1,1,1,1,141,921,1733,586,2302,292,513,1861,326,teamgamelogs,2008-09,Four Factors
2008-09,1610612744,GSW,Golden State Warriors,0020801229,2009-04-15T00:00:00,GSW @ PHX,L,48.0,0.489,0.301,0.163,0.453,0.463,0.447,0.082,0.448,1,1231,1231,1231,141,1373,1212,1605,61,675,2202,2365,2390,teamgamelogs,2008-09,Four Factors
2008-09,1610612756,PHX,Phoenix Suns,0020801229,2009-04-15T00:00:00,PHX vs. GSW,W,48.0,0.463,0.447,0.082,0.448,0.489,0.301,0.163,0.453,1,1,1,1,141,1785,259,95,71,1087,1245,846,2398,teamgamelogs,2008-09,Four Factors
2008-09,1610612757,POR,Portland Trail Blazers,0020801230,2009-04-15T00:00:00,POR vs. DEN,W,48.0,0.615,0.243,0.174,0.263,0.367,0.193,0.176,0.291,1,1,1,1,141,87,1761,1804,1682,34,303,604,1141,teamgamelogs,2008-09,Four Factors
2008-09,1610612741,CHI,Chicago Bulls,0020801218,2009-04-15T00:00:00,CHI vs. TOR,L,48.0,0.44,0.239,0.071,0.218,0.5,0.228,0.133,0.367,1,1231,1231,1231,141,2061,1790,41,2146,1189,592,1601,2004,teamgamelogs,2008-09,Four Factors
2008-09,1610612760,OKC,Oklahoma City Thunder,0020801228,2009-04-15T00:00:00,OKC @ LAC,W,48.0,0.562,0.36,0.125,0.311,0.469,0.175,0.214,0.149,1,1,1,1,141,414,733,662,1051,758,219,157,54,teamgamelogs,2008-09,Four Factors
2008-09,1610612755,PHI,Philadelphia 76ers,0020801219,2009-04-15T00:00:00,PHI @ CLE,W,53.0,0.549,0.597,0.165,0.395,0.573,0.135,0.186,0.378,1,1,1,1,27,554,23,1638,254,2146,67,454,2094,teamgamelogs,2008-09,Four Factors
2008-09,1610612763,MEM,Memphis Grizzlies,0020801222,2009-04-15T00:00:00,MEM vs. ATL,W,48.0,0.527,0.425,0.12,0.22,0.474,0.316,0.154,0.213,1,1,1,1,141,825,336,556,2136,829,1358,1076,276,teamgamelogs,2008-09,Four Factors
2008-09,1610612759,SAS,San Antonio Spurs,0020801227,2009-04-15T00:00:00,SAS vs. NOH,W,53.0,0.529,0.235,0.147,0.326,0.525,0.263,0.106,0.114,1,1,1,1,27,806,1818,1192,876,1604,875,2136,9,teamgamelogs,2008-09,Four Factors
2008-09,1610612749,MIL,Milwaukee Bucks,0020801221,2009-04-15T00:00:00,MIL @ IND,L,48.0,0.466,0.147,0.109,0.322,0.549,0.366,0.176,0.333,1,1231,1231,1231,141,1737,2359,375,921,1908,1768,596,1623,teamgamelogs,2008-09,Four Factors
2008-09,1610612743,DEN,Denver Nuggets,0020801230,2009-04-15T00:00:00,DEN @ POR,L,48.0,0.367,0.193,0.176,0.291,0.615,0.243,0.174,0.263,1,1231,1231,1231,141,2426,2153,1842,1314,2374,698,647,768,teamgamelogs,2008-09,Four Factors
2008-09,1610612752,NYK,New York Knicks,0020801225,2009-04-15T00:00:00,NYK vs. NJN,W,48.0,0.488,0.259,0.11,0.367,0.337,0.229,0.225,0.397,1,1,1,1,141,1393,1615,380,443,11,593,95,2221,teamgamelogs,2008-09,Four Factors
2008-09,1610612751,NJN,New Jersey Nets,0020801225,2009-04-15T00:00:00,NJN @ NYK,L,48.0,0.337,0.229,0.225,0.397,0.488,0.259,0.11,0.367,1,1231,1231,1231,141,2450,1865,2364,238,1061,839,2070,2004,teamgamelogs,2008-09,Four Factors
2008-09,1610612746,LAC,Los Angeles Clippers,0020801228,2009-04-15T00:00:00,LAC vs. OKC,L,48.0,0.469,0.175,0.214,0.149,0.562,0.36,0.125,0.311,1,1231,1231,1231,141,1697,2240,2304,2406,2047,1727,1769,1390,teamgamelogs,2008-09,Four Factors
2008-09,1610612750,MIN,Minnesota Timberwolves,0020801224,2009-04-15T00:00:00,MIN vs. SAC,L,48.0,0.467,0.368,0.167,0.348,0.507,0.378,0.167,0.25,1,1231,1231,1231,141,1719,675,1656,632,1348,1854,771,580,teamgamelogs,2008-09,Four Factors
2008-09,1610612753,ORL,Orlando Magic,0020801226,2009-04-15T00:00:00,ORL vs. CHA,W,48.0,0.519,0.272,0.092,0.28,0.368,0.5,0.151,0.217,1,1,1,1,141,950,1478,171,1437,36,2323,1155,300,teamgamelogs,2008-09,Four Factors
2008-09,1610612745,HOU,Houston Rockets,0020801220,2009-04-15T00:00:00,HOU @ DAL,L,48.0,0.427,0.22,0.121,0.22,0.519,0.247,0.121,0.19,1,1231,1231,1231,141,2169,1943,586,2128,1535,723,1861,153,teamgamelogs,2008-09,Four Factors
2008-09,1610612748,MIA,Miami Heat,0020801214,2009-04-14T00:00:00,MIA @ ATL,L,48.0,0.455,0.179,0.198,0.353,0.451,0.366,0.141,0.239,1,1231,1231,1231,141,1860,2217,2153,585,531,1771,1405,474,teamgamelogs,2008-09,Four Factors
2008-09,1610612747,LAL,Los Angeles Lakers,0020801216,2009-04-14T00:00:00,LAL vs. UTA,W,48.0,0.605,0.279,0.162,0.35,0.513,0.627,0.16,0.349,1,1,1,1,141,124,1423,1567,606,1451,2449,938,1830,teamgamelogs,2008-09,Four Factors
2008-09,1610612762,UTA,Utah Jazz,0020801216,2009-04-14T00:00:00,UTA @ LAL,L,48.0,0.513,0.627,0.16,0.349,0.605,0.279,0.162,0.35,1,1231,1231,1231,141,1006,12,1514,623,2336,1035,884,1839,teamgamelogs,2008-09,Four Factors
2008-09,1610612737,ATL,Atlanta Hawks,0020801214,2009-04-14T00:00:00,ATL vs. MIA,W,48.0,0.451,0.366,0.141,0.239,0.455,0.179,0.198,0.353,1,1,1,1,141,1930,688,1047,1978,597,243,304,1866,teamgamelogs,2008-09,Four Factors
2008-09,1610612755,PHI,Philadelphia 76ers,0020801215,2009-04-14T00:00:00,PHI vs. BOS,L,48.0,0.482,0.305,0.124,0.34,0.576,0.215,0.17,0.357,1,1231,1231,1231,141,1485,1183,635,710,2168,476,714,1909,teamgamelogs,2008-09,Four Factors
2008-09,1610612738,BOS,Boston Celtics,0020801215,2009-04-14T00:00:00,BOS @ PHI,W,48.0,0.576,0.215,0.17,0.357,0.482,0.305,0.124,0.34,1,1,1,1,141,292,1982,1740,541,970,1277,1809,1736,teamgamelogs,2008-09,Four Factors
2008-09,1610612743,DEN,Denver Nuggets,0020801209,2009-04-13T00:00:00,DEN vs. SAC,W,48.0,0.535,0.424,0.106,0.314,0.524,0.176,0.17,0.286,1,1,1,1,141,734,343,318,1024,1588,227,722,1066,teamgamelogs,2008-09,Four Factors
2008-09,1610612750,MIN,Minnesota Timberwolves,0020801207,2009-04-13T00:00:00,MIN @ DAL,L,48.0,0.512,0.146,0.148,0.283,0.507,0.38,0.124,0.225,1,1231,1231,1231,141,1044,2361,1211,1408,1368,1871,1809,361,teamgamelogs,2008-09,Four Factors
2008-09,1610612765,DET,Detroit Pistons,0020801204,2009-04-13T00:00:00,DET vs. CHI,L,48.0,0.424,0.271,0.105,0.321,0.494,0.231,0.115,0.227,1,1231,1231,1231,141,2193,1490,293,935,1138,604,1969,377,teamgamelogs,2008-09,Four Factors
2008-09,1610612757,POR,Portland Trail Blazers,0020801212,2009-04-13T00:00:00,POR vs. OKC,W,48.0,0.545,0.239,0.117,0.333,0.415,0.232,0.116,0.173,1,1,1,1,141,589,1793,512,751,213,610,1960,100,teamgamelogs,2008-09,Four Factors
2008-09,1610612739,CLE,Cleveland Cavaliers,0020801202,2009-04-13T00:00:00,CLE @ IND,W,48.0,0.506,0.391,0.133,0.388,0.494,0.322,0.143,0.308,1,1,1,1,141,1159,524,846,281,1172,1411,1348,1344,teamgamelogs,2008-09,Four Factors
2008-09,1610612749,MIL,Milwaukee Bucks,0020801206,2009-04-13T00:00:00,MIL vs. ORL,W,48.0,0.494,0.342,0.129,0.271,0.33,0.341,0.12,0.308,1,1,1,1,141,1314,862,763,1562,7,1574,1881,1344,teamgamelogs,2008-09,Four Factors
2008-09,1610612761,TOR,Toronto Raptors,0020801203,2009-04-13T00:00:00,TOR @ WAS,W,48.0,0.427,0.219,0.157,0.373,0.487,0.304,0.245,0.333,1,1,1,1,141,2167,1954,1437,399,1033,1266,34,1623,teamgamelogs,2008-09,Four Factors
2008-09,1610612763,MEM,Memphis Grizzlies,0020801211,2009-04-13T00:00:00,MEM @ PHX,L,48.0,0.538,0.38,0.192,0.3,0.574,0.457,0.16,0.356,1,1231,1231,1231,141,693,591,2092,1187,2153,2236,938,1895,teamgamelogs,2008-09,Four Factors
2008-09,1610612760,OKC,Oklahoma City Thunder,0020801212,2009-04-13T00:00:00,OKC @ POR,L,48.0,0.415,0.232,0.116,0.173,0.545,0.239,0.117,0.333,1,1231,1231,1231,141,2246,1846,493,2361,1866,665,1937,1623,teamgamelogs,2008-09,Four Factors
2008-09,1610612756,PHX,Phoenix Suns,0020801211,2009-04-13T00:00:00,PHX vs. MEM,W,48.0,0.574,0.457,0.16,0.356,0.538,0.38,0.192,0.3,1,1,1,1,141,306,225,1514,557,1763,1860,367,1242,teamgamelogs,2008-09,Four Factors
2008-09,1610612759,SAS,San Antonio Spurs,0020801213,2009-04-13T00:00:00,SAS @ GSW,W,48.0,0.482,0.353,0.121,0.364,0.354,0.232,0.109,0.175,1,1,1,1,141,1475,772,586,476,21,610,2087,112,teamgamelogs,2008-09,Four Factors
2008-09,1610612751,NJN,New Jersey Nets,0020801205,2009-04-13T00:00:00,NJN vs. CHA,W,48.0,0.467,0.342,0.196,0.383,0.452,0.37,0.156,0.238,1,1,1,1,141,1719,855,2128,318,550,1792,1043,460,teamgamelogs,2008-09,Four Factors
2008-09,1610612764,WAS,Washington Wizards,0020801203,2009-04-13T00:00:00,WAS vs. TOR,L,48.0,0.487,0.304,0.245,0.333,0.427,0.219,0.157,0.373,1,1231,1231,1231,141,1425,1188,2425,751,294,506,1015,2059,teamgamelogs,2008-09,Four Factors
