season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,endpoint,input_season,input_measure
2007-08,1610612765,DET,Detroit Pistons,0020701219,2008-04-16T00:00:00,DET @ CLE,W,48.0,0.831,0.169,0.643,0.262,0.179,0.095,0.179,0.083,0.381,0.63,0.37,0.8,0.2,0.656,0.344,1,1,1,1,129,584,1873,949,682,1356,1588,1359,2229,1426,477,1977,1662,631,653,1796,teamgamelogs,2007-08,Scoring
2007-08,1610612746,LAC,Los Angeles Clippers,0020701226,2008-04-16T00:00:00,LAC @ HOU,L,48.0,0.893,0.107,0.667,0.32,0.12,0.053,0.213,0.08,0.347,0.36,0.64,1.0,0.0,0.429,0.571,1,1231,1231,1231,129,115,2344,677,282,1973,2163,775,2261,1782,2233,221,1,1317,2248,200,teamgamelogs,2007-08,Scoring
2007-08,1610612737,ATL,Atlanta Hawks,0020701222,2008-04-16T00:00:00,ATL @ MIA,L,48.0,0.859,0.141,0.687,0.364,0.091,0.212,0.222,0.131,0.323,0.5,0.5,1.0,0.0,0.541,0.459,1,1231,1231,1231,129,297,2162,543,122,2186,235,661,1645,1993,1319,1008,1,1317,1587,854,teamgamelogs,2007-08,Scoring
2007-08,1610612756,PHX,Phoenix Suns,0020701229,2008-04-16T00:00:00,PHX vs. POR,W,48.0,0.803,0.197,0.6,0.18,0.18,0.1,0.22,0.05,0.42,0.733,0.267,1.0,0.0,0.778,0.222,1,1,1,1,129,937,1520,1397,1617,1337,1518,688,2408,961,99,2357,1,1317,81,2372,teamgamelogs,2007-08,Scoring
2007-08,1610612761,TOR,Toronto Raptors,0020701225,2008-04-16T00:00:00,TOR @ CHI,L,48.0,0.844,0.156,0.68,0.351,0.186,0.082,0.134,0.186,0.33,0.485,0.515,0.833,0.167,0.538,0.462,1,1231,1231,1231,129,439,2021,591,155,1283,1785,2021,791,1945,1488,955,1515,804,1608,842,teamgamelogs,2007-08,Scoring
2007-08,1610612750,MIN,Minnesota Timberwolves,0020701224,2008-04-16T00:00:00,MIN vs. MIL,W,53.0,0.808,0.192,0.6,0.182,0.218,0.109,0.182,0.164,0.418,0.515,0.485,0.5,0.5,0.512,0.488,1,1,1,1,21,873,1586,1397,1591,948,1379,1288,1113,989,1281,1163,2290,64,1823,628,teamgamelogs,2007-08,Scoring
2007-08,1610612745,HOU,Houston Rockets,0020701226,2008-04-16T00:00:00,HOU vs. LAC,W,48.0,0.696,0.304,0.645,0.129,0.258,0.043,0.097,0.247,0.516,0.6,0.4,0.875,0.125,0.658,0.342,1,1,1,1,129,2149,311,929,2138,550,2269,2336,172,206,647,1773,1330,1028,625,1825,teamgamelogs,2007-08,Scoring
2007-08,1610612753,ORL,Orlando Magic,0020701218,2008-04-16T00:00:00,ORL vs. WAS,W,48.0,0.659,0.341,0.563,0.155,0.35,0.126,0.087,0.155,0.408,0.621,0.379,0.917,0.083,0.707,0.293,1,1,1,1,129,2310,146,1795,1895,94,1075,2378,1245,1133,536,1911,1153,1266,312,2137,teamgamelogs,2007-08,Scoring
2007-08,1610612749,MIL,Milwaukee Bucks,0020701224,2008-04-16T00:00:00,MIL @ MIN,L,53.0,0.862,0.138,0.772,0.178,0.089,0.149,0.139,0.079,0.594,0.641,0.359,0.333,0.667,0.619,0.381,1,1231,1231,1231,21,283,2177,87,1633,2205,764,1982,2272,35,415,2044,2395,25,932,1521,teamgamelogs,2007-08,Scoring
2007-08,1610612744,GSW,Golden State Warriors,0020701230,2008-04-16T00:00:00,GSW vs. SEA,L,48.0,0.591,0.409,0.529,0.116,0.372,0.314,0.099,0.165,0.413,0.375,0.625,0.8,0.2,0.511,0.489,1,1231,1231,1231,129,2442,18,2068,2241,54,23,2318,1082,1063,2171,274,1662,631,1843,613,teamgamelogs,2007-08,Scoring
