season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,endpoint,input_season,input_measure
2022-23,1610612748,MIA,Miami Heat,0022200738,2023-01-27T00:00:00,MIA vs. ORL,W,48.0,0.518,0.306,0.11,0.184,0.565,0.464,0.202,0.128,1,1,1,1,99,955,481,282,1326,949,1446,89,28,teamgamelogs,2022-23,Four Factors
2022-23,1610612763,MEM,Memphis Grizzlies,0022200737,2023-01-27T00:00:00,MEM @ MIN,L,48.0,0.452,0.204,0.202,0.351,0.587,0.174,0.192,0.244,1,741,741,741,99,1371,1158,1383,258,1112,178,145,494,teamgamelogs,2022-23,Four Factors
2022-23,1610612749,MIL,Milwaukee Bucks,0022200736,2023-01-27T00:00:00,MIL @ IND,W,48.0,0.622,0.316,0.144,0.358,0.624,0.315,0.118,0.116,1,1,1,1,99,173,440,764,217,1312,1034,1102,18,teamgamelogs,2022-23,Four Factors
2022-23,1610612750,MIN,Minnesota Timberwolves,0022200737,2023-01-27T00:00:00,MIN vs. MEM,W,48.0,0.587,0.174,0.192,0.244,0.452,0.204,0.202,0.351,1,1,1,1,99,367,1298,1329,980,109,318,95,1221,teamgamelogs,2022-23,Four Factors
2022-23,1610612754,IND,Indiana Pacers,0022200736,2023-01-27T00:00:00,IND vs. MIL,L,48.0,0.624,0.315,0.118,0.116,0.622,0.316,0.144,0.358,1,741,741,741,99,169,445,376,1463,1308,1041,717,1261,teamgamelogs,2022-23,Four Factors
2022-23,1610612739,CLE,Cleveland Cavaliers,0022200739,2023-01-27T00:00:00,CLE @ OKC,L,48.0,0.489,0.205,0.108,0.25,0.592,0.329,0.16,0.289,1,741,741,741,99,1195,1153,248,926,1140,1112,480,807,teamgamelogs,2022-23,Four Factors
2022-23,1610612761,TOR,Toronto Raptors,0022200740,2023-01-27T00:00:00,TOR @ GSW,L,48.0,0.515,0.208,0.097,0.3,0.656,0.167,0.139,0.22,1,741,741,741,99,996,1138,171,584,1408,135,780,337,teamgamelogs,2022-23,Four Factors
2022-23,1610612760,OKC,Oklahoma City Thunder,0022200739,2023-01-27T00:00:00,OKC vs. CLE,W,48.0,0.592,0.329,0.16,0.289,0.489,0.205,0.108,0.25,1,1,1,1,99,339,369,995,673,284,324,1229,520,teamgamelogs,2022-23,Four Factors
2022-23,1610612744,GSW,Golden State Warriors,0022200740,2023-01-27T00:00:00,GSW vs. TOR,W,48.0,0.656,0.167,0.139,0.22,0.515,0.208,0.097,0.3,1,1,1,1,99,73,1335,690,1141,485,343,1304,883,teamgamelogs,2022-23,Four Factors
2022-23,1610612753,ORL,Orlando Magic,0022200738,2023-01-27T00:00:00,ORL @ MIA,L,48.0,0.565,0.464,0.202,0.128,0.518,0.306,0.11,0.184,1,741,741,741,99,530,35,1387,1452,520,994,1190,150,teamgamelogs,2022-23,Four Factors
