season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,endpoint,input_season,input_measure
2009-10,1610612751,NJN,New Jersey Nets,0020901222,2010-04-14T00:00:00,NJN @ MIA,L,58.0,0.394,0.4,0.204,0.327,0.441,0.172,0.153,0.305,1,1231,1231,1231,3,2362,408,2240,848,439,182,1129,1324,teamgamelogs,2009-10,Four Factors
2009-10,1610612759,SAS,San Antonio Spurs,0020901220,2010-04-14T00:00:00,SAS @ DAL,L,48.0,0.418,0.22,0.111,0.236,0.447,0.329,0.121,0.236,1,1231,1231,1231,145,2236,1959,364,1950,491,1560,1905,506,teamgamelogs,2009-10,Four Factors
2009-10,1610612744,GSW,Golden State Warriors,0020901229,2010-04-14T00:00:00,GSW @ POR,W,48.0,0.568,0.352,0.078,0.229,0.563,0.276,0.137,0.244,1,1,1,1,145,379,689,57,2018,2031,1020,1513,581,teamgamelogs,2009-10,Four Factors
2009-10,1610612742,DAL,Dallas Mavericks,0020901220,2010-04-14T00:00:00,DAL vs. SAS,W,48.0,0.447,0.329,0.121,0.236,0.418,0.22,0.111,0.236,1,1,1,1,145,1964,897,549,1950,223,498,2078,506,teamgamelogs,2009-10,Four Factors
2009-10,1610612740,NOH,New Orleans Hornets,0020901221,2010-04-14T00:00:00,NOH @ HOU,W,48.0,0.694,0.2,0.146,0.194,0.575,0.287,0.104,0.298,1,1,1,1,145,6,2112,1141,2288,2124,1129,2182,1216,teamgamelogs,2009-10,Four Factors
2009-10,1610612745,HOU,Houston Rockets,0020901221,2010-04-14T00:00:00,HOU vs. NOH,L,48.0,0.575,0.287,0.104,0.298,0.694,0.2,0.146,0.194,1,1231,1231,1231,145,333,1327,267,1226,2454,338,1306,171,teamgamelogs,2009-10,Four Factors
2009-10,1610612747,LAL,Los Angeles Lakers,0020901228,2010-04-14T00:00:00,LAL @ LAC,L,48.0,0.419,0.326,0.146,0.328,0.56,0.229,0.125,0.2,1,1231,1231,1231,145,2225,936,1141,842,2005,554,1821,192,teamgamelogs,2009-10,Four Factors
2009-10,1610612748,MIA,Miami Heat,0020901222,2010-04-14T00:00:00,MIA vs. NJN,W,58.0,0.441,0.172,0.153,0.305,0.394,0.4,0.204,0.327,1,1,1,1,3,2021,2276,1323,1134,99,2043,216,1610,teamgamelogs,2009-10,Four Factors
2009-10,1610612741,CHI,Chicago Bulls,0020901219,2010-04-14T00:00:00,CHI @ CHA,W,48.0,0.513,0.329,0.198,0.381,0.419,0.325,0.143,0.32,1,1,1,1,145,994,919,2171,323,237,1513,1368,1493,teamgamelogs,2009-10,Four Factors
2009-10,1610612761,TOR,Toronto Raptors,0020901226,2010-04-14T00:00:00,TOR vs. NYK,W,48.0,0.694,0.313,0.113,0.233,0.517,0.289,0.155,0.389,1,1,1,1,145,6,1063,407,1976,1488,1147,1091,2186,teamgamelogs,2009-10,Four Factors
2009-10,1610612756,PHX,Phoenix Suns,0020901230,2010-04-14T00:00:00,PHX @ UTA,W,48.0,0.541,0.365,0.156,0.2,0.419,0.3,0.198,0.294,1,1,1,1,145,673,599,1392,2239,237,1260,271,1176,teamgamelogs,2009-10,Four Factors
2009-10,1610612746,LAC,Los Angeles Clippers,0020901228,2010-04-14T00:00:00,LAC vs. LAL,W,48.0,0.56,0.229,0.125,0.2,0.419,0.326,0.146,0.328,1,1,1,1,145,452,1894,613,2239,231,1522,1306,1614,teamgamelogs,2009-10,Four Factors
2009-10,1610612754,IND,Indiana Pacers,0020901227,2010-04-14T00:00:00,IND @ WAS,L,48.0,0.416,0.386,0.153,0.264,0.506,0.351,0.204,0.286,1,1231,1231,1231,145,2248,483,1323,1637,1370,1752,216,1053,teamgamelogs,2009-10,Four Factors
2009-10,1610612764,WAS,Washington Wizards,0020901227,2010-04-14T00:00:00,WAS vs. IND,W,48.0,0.506,0.351,0.204,0.286,0.416,0.386,0.153,0.264,1,1,1,1,145,1086,702,2240,1363,212,1977,1129,813,teamgamelogs,2009-10,Four Factors
