season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,endpoint,input_season,input_measure
2013-14,1610612737,ATL,Atlanta Hawks,0021301217,2014-04-16T00:00:00,ATL @ MIL,W,48.0,0.592,0.342,0.125,0.135,0.565,0.273,0.232,0.35,1,1,1,1,159,218,658,600,2428,2037,1189,61,1945,teamgamelogs,2013-14,Four Factors
2013-14,1610612738,BOS,Boston Celtics,0021301222,2014-04-16T00:00:00,BOS vs. WAS,L,48.0,0.506,0.274,0.144,0.271,0.602,0.193,0.124,0.3,1,1231,1231,1231,159,1152,1251,1021,1484,2282,425,1867,1332,teamgamelogs,2013-14,Four Factors
2013-14,1610612751,BKN,Brooklyn Nets,0021301224,2014-04-16T00:00:00,BKN @ CLE,L,48.0,0.43,0.291,0.168,0.208,0.575,0.195,0.126,0.302,1,1231,1231,1231,159,2131,1079,1608,2136,2114,443,1809,1368,teamgamelogs,2013-14,Four Factors
2013-14,1610612753,ORL,Orlando Magic,0021301227,2014-04-16T00:00:00,ORL vs. IND,L,48.0,0.437,0.304,0.112,0.235,0.528,0.125,0.133,0.347,1,1231,1231,1231,159,2078,958,362,1880,1624,87,1679,1910,teamgamelogs,2013-14,Four Factors
2013-14,1610612745,HOU,Houston Rockets,0021301219,2014-04-16T00:00:00,HOU @ NOP,L,48.0,0.519,0.296,0.156,0.32,0.561,0.244,0.11,0.31,1,1231,1231,1231,159,964,1029,1306,857,2007,877,2130,1465,teamgamelogs,2013-14,Four Factors
2013-14,1610612741,CHI,Chicago Bulls,0021301223,2014-04-16T00:00:00,CHI @ CHA,L,53.0,0.442,0.174,0.124,0.2,0.429,0.306,0.115,0.259,1,1231,1231,1231,29,2013,2167,579,2174,317,1518,2055,802,teamgamelogs,2013-14,Four Factors
2013-14,1610612766,CHA,Charlotte Bobcats,0021301223,2014-04-16T00:00:00,CHA vs. CHI,W,53.0,0.429,0.306,0.115,0.259,0.442,0.174,0.124,0.2,1,1,1,1,29,2142,941,392,1653,447,290,1867,255,teamgamelogs,2013-14,Four Factors
2013-14,1610612756,PHX,Phoenix Suns,0021301229,2014-04-16T00:00:00,PHX @ SAC,W,48.0,0.512,0.256,0.111,0.16,0.453,0.349,0.173,0.34,1,1,1,1,159,1067,1467,339,2369,565,1840,735,1820,teamgamelogs,2013-14,Four Factors
2013-14,1610612749,MIL,Milwaukee Bucks,0021301217,2014-04-16T00:00:00,MIL vs. ATL,L,48.0,0.565,0.273,0.232,0.35,0.592,0.342,0.125,0.135,1,1231,1231,1231,159,422,1259,2398,506,2241,1795,1829,32,teamgamelogs,2013-14,Four Factors
2013-14,1610612761,TOR,Toronto Raptors,0021301226,2014-04-16T00:00:00,TOR @ NYK,L,48.0,0.506,0.225,0.263,0.429,0.506,0.235,0.172,0.25,1,1231,1231,1231,159,1125,1756,2454,78,1320,779,758,696,teamgamelogs,2013-14,Four Factors
2013-14,1610612739,CLE,Cleveland Cavaliers,0021301224,2014-04-16T00:00:00,CLE vs. BKN,W,48.0,0.575,0.195,0.126,0.302,0.43,0.291,0.168,0.208,1,1,1,1,159,345,2010,636,1085,326,1373,839,319,teamgamelogs,2013-14,Four Factors
2013-14,1610612762,UTA,Utah Jazz,0021301218,2014-04-16T00:00:00,UTA @ MIN,W,58.0,0.519,0.269,0.158,0.397,0.454,0.557,0.127,0.328,1,1,1,1,7,964,1314,1381,202,569,2420,1804,1730,teamgamelogs,2013-14,Four Factors
2013-14,1610612759,SAS,San Antonio Spurs,0021301221,2014-04-16T00:00:00,SAS vs. LAL,L,48.0,0.465,0.101,0.098,0.22,0.555,0.187,0.087,0.146,1,1231,1231,1231,159,1769,2435,183,2033,1954,367,2362,50,teamgamelogs,2013-14,Four Factors
2013-14,1610612747,LAL,Los Angeles Lakers,0021301221,2014-04-16T00:00:00,LAL @ SAS,W,48.0,0.555,0.187,0.087,0.146,0.465,0.101,0.098,0.22,1,1,1,1,159,507,2092,98,2410,692,25,2277,426,teamgamelogs,2013-14,Four Factors
2013-14,1610612740,NOP,New Orleans Pelicans,0021301219,2014-04-16T00:00:00,NOP vs. HOU,W,48.0,0.561,0.244,0.11,0.31,0.519,0.296,0.156,0.32,1,1,1,1,159,453,1576,321,981,1490,1427,1142,1595,teamgamelogs,2013-14,Four Factors
2013-14,1610612764,WAS,Washington Wizards,0021301222,2014-04-16T00:00:00,WAS @ BOS,W,48.0,0.602,0.193,0.124,0.3,0.506,0.274,0.144,0.271,1,1,1,1,159,179,2030,579,1105,1307,1204,1422,965,teamgamelogs,2013-14,Four Factors
2013-14,1610612752,NYK,New York Knicks,0021301226,2014-04-16T00:00:00,NYK vs. TOR,W,48.0,0.506,0.235,0.172,0.25,0.506,0.225,0.263,0.429,1,1,1,1,159,1136,1673,1688,1712,1326,696,7,2377,teamgamelogs,2013-14,Four Factors
2013-14,1610612755,PHI,Philadelphia 76ers,0021301225,2014-04-16T00:00:00,PHI @ MIA,W,48.0,0.581,0.216,0.226,0.278,0.479,0.301,0.234,0.326,1,1,1,1,159,292,1829,2376,1415,914,1486,50,1666,teamgamelogs,2013-14,Four Factors
2013-14,1610612743,DEN,Denver Nuggets,0021301230,2014-04-16T00:00:00,DEN vs. GSW,L,48.0,0.494,0.417,0.178,0.255,0.533,0.389,0.131,0.255,1,1231,1231,1231,159,1316,265,1801,1693,1692,2078,1735,752,teamgamelogs,2013-14,Four Factors
2013-14,1610612765,DET,Detroit Pistons,0021301220,2014-04-16T00:00:00,DET @ OKC,L,48.0,0.554,0.373,0.177,0.354,0.471,0.477,0.156,0.472,1,1231,1231,1231,159,514,456,1786,466,785,2349,1125,2440,teamgamelogs,2013-14,Four Factors
2013-14,1610612746,LAC,Los Angeles Clippers,0021301228,2014-04-16T00:00:00,LAC @ POR,L,48.0,0.452,0.393,0.082,0.189,0.465,0.218,0.101,0.41,1,1231,1231,1231,159,1904,363,73,2260,704,644,2244,2304,teamgamelogs,2013-14,Four Factors
2013-14,1610612760,OKC,Oklahoma City Thunder,0021301220,2014-04-16T00:00:00,OKC vs. DET,W,48.0,0.471,0.477,0.156,0.472,0.554,0.373,0.177,0.354,1,1,1,1,159,1668,112,1320,21,1941,1999,661,1985,teamgamelogs,2013-14,Four Factors
2013-14,1610612748,MIA,Miami Heat,0021301225,2014-04-16T00:00:00,MIA vs. PHI,L,48.0,0.479,0.301,0.234,0.326,0.581,0.216,0.226,0.278,1,1231,1231,1231,159,1547,974,2408,774,2165,630,79,1035,teamgamelogs,2013-14,Four Factors
