season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,endpoint,input_season,input_measure
2011-12,1610612758,SAC,Sacramento Kings,0021100989,2012-04-26T00:00:00,SAC vs. LAL,W,48.0,0.543,0.196,0.085,0.333,0.489,0.099,0.16,0.327,1,1,1,1,129,377,1566,64,683,1029,28,899,1208,teamgamelogs,2011-12,Four Factors
2011-12,1610612745,HOU,Houston Rockets,0021100986,2012-04-26T00:00:00,HOU vs. NOH,W,48.0,0.401,0.154,0.12,0.311,0.434,0.441,0.165,0.128,1,1,1,1,129,1811,1794,340,920,411,1858,792,17,teamgamelogs,2011-12,Four Factors
2011-12,1610612763,MEM,Memphis Grizzlies,0021100985,2012-04-26T00:00:00,MEM vs. ORL,W,48.0,0.486,0.306,0.159,0.293,0.459,0.205,0.172,0.196,1,1,1,1,129,1014,732,1063,1097,644,474,645,158,teamgamelogs,2011-12,Four Factors
2011-12,1610612751,NJN,New Jersey Nets,0021100980,2012-04-26T00:00:00,NJN @ TOR,L,48.0,0.337,0.193,0.163,0.233,0.477,0.205,0.151,0.377,1,991,991,991,129,1962,1587,1127,1613,854,459,1073,1650,teamgamelogs,2011-12,Four Factors
2011-12,1610612759,SAS,San Antonio Spurs,0021100990,2012-04-26T00:00:00,SAS @ GSW,W,48.0,0.484,0.177,0.133,0.364,0.529,0.138,0.163,0.222,1,1,1,1,129,1025,1683,538,407,1476,121,823,283,teamgamelogs,2011-12,Four Factors
2011-12,1610612739,CLE,Cleveland Cavaliers,0021100984,2012-04-26T00:00:00,CLE @ CHI,L,48.0,0.333,0.299,0.1,0.269,0.559,0.2,0.101,0.317,1,991,991,991,129,1964,774,138,1329,1710,431,1827,1098,teamgamelogs,2011-12,Four Factors
2011-12,1610612749,MIL,Milwaukee Bucks,0021100979,2012-04-26T00:00:00,MIL @ BOS,L,48.0,0.385,0.295,0.235,0.255,0.448,0.126,0.152,0.212,1,991,991,991,129,1893,799,1912,1463,543,98,1054,221,teamgamelogs,2011-12,Four Factors
2011-12,1610612744,GSW,Golden State Warriors,0021100990,2012-04-26T00:00:00,GSW vs. SAS,L,48.0,0.529,0.138,0.163,0.222,0.484,0.177,0.133,0.364,1,991,991,991,129,505,1857,1147,1680,954,297,1439,1565,teamgamelogs,2011-12,Four Factors
2011-12,1610612766,CHA,Charlotte Bobcats,0021100982,2012-04-26T00:00:00,CHA vs. NYK,L,48.0,0.473,0.351,0.17,0.273,0.565,0.176,0.118,0.25,1,991,991,991,129,1179,450,1274,1286,1748,291,1646,470,teamgamelogs,2011-12,Four Factors
2011-12,1610612765,DET,Detroit Pistons,0021100978,2012-04-26T00:00:00,DET vs. PHI,W,48.0,0.593,0.198,0.148,0.349,0.42,0.184,0.125,0.364,1,1,1,1,129,123,1557,835,543,287,337,1550,1565,teamgamelogs,2011-12,Four Factors
2011-12,1610612747,LAL,Los Angeles Lakers,0021100989,2012-04-26T00:00:00,LAL @ SAC,L,48.0,0.489,0.099,0.16,0.327,0.543,0.196,0.085,0.333,1,991,991,991,129,950,1952,1071,764,1601,413,1912,1227,teamgamelogs,2011-12,Four Factors
2011-12,1610612750,MIN,Minnesota Timberwolves,0021100987,2012-04-26T00:00:00,MIN vs. DEN,L,48.0,0.506,0.213,0.129,0.231,0.657,0.225,0.158,0.389,1,991,991,991,129,780,1448,464,1629,1967,616,919,1716,teamgamelogs,2011-12,Four Factors
2011-12,1610612740,NOH,New Orleans Hornets,0021100986,2012-04-26T00:00:00,NOH @ HOU,L,48.0,0.434,0.441,0.165,0.128,0.401,0.154,0.12,0.311,1,991,991,991,129,1570,123,1169,1962,167,184,1627,1057,teamgamelogs,2011-12,Four Factors
2011-12,1610612738,BOS,Boston Celtics,0021100979,2012-04-26T00:00:00,BOS vs. MIL,W,48.0,0.448,0.126,0.152,0.212,0.385,0.295,0.235,0.255,1,1,1,1,129,1435,1882,919,1755,88,1173,68,515,teamgamelogs,2011-12,Four Factors
2011-12,1610612748,MIA,Miami Heat,0021100981,2012-04-26T00:00:00,MIA @ WAS,L,48.0,0.388,0.358,0.232,0.156,0.586,0.316,0.167,0.237,1,991,991,991,129,1878,408,1897,1935,1827,1320,744,392,teamgamelogs,2011-12,Four Factors
2011-12,1610612764,WAS,Washington Wizards,0021100981,2012-04-26T00:00:00,WAS vs. MIA,W,48.0,0.586,0.316,0.167,0.237,0.388,0.358,0.232,0.156,1,1,1,1,129,152,656,1201,1583,103,1573,81,45,teamgamelogs,2011-12,Four Factors
2011-12,1610612737,ATL,Atlanta Hawks,0021100983,2012-04-26T00:00:00,ATL vs. DAL,W,48.0,0.582,0.106,0.165,0.244,0.455,0.295,0.167,0.208,1,1,1,1,129,160,1940,1190,1539,602,1173,744,202,teamgamelogs,2011-12,Four Factors
2011-12,1610612757,POR,Portland Trail Blazers,0021100988,2012-04-26T00:00:00,POR @ UTA,L,48.0,0.488,0.238,0.154,0.239,0.458,0.325,0.13,0.353,1,991,991,991,129,984,1257,958,1562,630,1392,1472,1460,teamgamelogs,2011-12,Four Factors
2011-12,1610612755,PHI,Philadelphia 76ers,0021100978,2012-04-26T00:00:00,PHI @ DET,L,48.0,0.42,0.184,0.125,0.364,0.593,0.198,0.148,0.349,1,991,991,991,129,1694,1638,414,407,1858,420,1130,1433,teamgamelogs,2011-12,Four Factors
2011-12,1610612761,TOR,Toronto Raptors,0021100980,2012-04-26T00:00:00,TOR vs. NJN,W,48.0,0.477,0.205,0.151,0.377,0.337,0.193,0.163,0.233,1,1,1,1,129,1125,1521,889,325,19,389,835,367,teamgamelogs,2011-12,Four Factors
