season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,endpoint,input_season,input_measure
2008-09,1610612761,TOR,Toronto Raptors,0020801218,2009-04-15T00:00:00,TOR @ CHI,W,48.0,0.891,0.109,0.734,0.239,0.11,0.174,0.156,0.083,0.495,0.6,0.4,0.75,0.25,0.614,0.386,1,1,1,1,141,92,2369,207,811,2072,466,1744,2264,339,458,1966,1860,461,785,1672,teamgamelogs,2008-09,Scoring
2008-09,1610612760,OKC,Oklahoma City Thunder,0020801228,2009-04-15T00:00:00,OKC @ LAC,W,48.0,0.865,0.135,0.698,0.206,0.095,0.151,0.206,0.183,0.492,0.727,0.273,1.0,0.0,0.75,0.25,1,1,1,1,141,213,2248,407,1194,2188,716,924,840,366,62,2395,1,1388,85,2364,teamgamelogs,2008-09,Scoring
2008-09,1610612739,CLE,Cleveland Cavaliers,0020801219,2009-04-15T00:00:00,CLE vs. PHI,L,53.0,0.73,0.27,0.655,0.273,0.273,0.036,0.073,0.173,0.382,0.5,0.5,0.8,0.2,0.565,0.435,1,1231,1231,1231,27,1835,626,786,492,456,2323,2425,974,1408,1139,1166,1641,651,1220,1240,teamgamelogs,2008-09,Scoring
2008-09,1610612746,LAC,Los Angeles Clippers,0020801228,2009-04-15T00:00:00,LAC vs. OKC,L,48.0,0.763,0.238,0.706,0.212,0.176,0.047,0.118,0.153,0.494,0.467,0.533,0.4,0.6,0.457,0.543,1,1231,1231,1231,141,1455,991,350,1117,1409,2235,2202,1300,358,1472,968,2405,32,2080,366,teamgamelogs,2008-09,Scoring
2008-09,1610612753,ORL,Orlando Magic,0020801226,2009-04-15T00:00:00,ORL vs. CHA,W,48.0,0.716,0.284,0.551,0.224,0.306,0.071,0.143,0.133,0.327,0.481,0.519,1.0,0.0,0.622,0.378,1,1,1,1,141,1981,473,1838,989,281,1946,1918,1636,1994,1378,1072,1,1388,717,1727,teamgamelogs,2008-09,Scoring
2008-09,1610612750,MIN,Minnesota Timberwolves,0020801224,2009-04-15T00:00:00,MIN vs. SAC,L,48.0,0.671,0.329,0.556,0.156,0.233,0.178,0.211,0.189,0.4,0.64,0.36,0.571,0.429,0.625,0.375,1,1231,1231,1231,141,2257,202,1796,1840,784,430,845,753,1190,279,2176,2290,138,693,1749,teamgamelogs,2008-09,Scoring
2008-09,1610612766,CHA,Charlotte Bobcats,0020801226,2009-04-15T00:00:00,CHA @ ORL,L,48.0,0.824,0.176,0.603,0.192,0.082,0.192,0.315,0.151,0.411,0.591,0.409,1.0,0.0,0.625,0.375,1,1231,1231,1231,141,652,1799,1352,1408,2269,313,50,1342,1088,536,1914,1,1388,693,1749,teamgamelogs,2008-09,Scoring
2008-09,1610612743,DEN,Denver Nuggets,0020801230,2009-04-15T00:00:00,DEN @ POR,L,48.0,0.807,0.193,0.605,0.158,0.197,0.118,0.197,0.145,0.447,0.304,0.696,0.4,0.6,0.321,0.679,1,1231,1231,1231,141,875,1574,1322,1809,1175,1197,1075,1448,719,2337,119,2405,32,2437,22,teamgamelogs,2008-09,Scoring
2008-09,1610612755,PHI,Philadelphia 76ers,0020801219,2009-04-15T00:00:00,PHI @ CLE,W,53.0,0.875,0.125,0.631,0.198,0.081,0.171,0.288,0.252,0.432,0.486,0.514,0.333,0.667,0.474,0.526,1,1,1,1,27,155,2300,1047,1323,2272,497,144,170,859,1307,1134,2420,12,1988,465,teamgamelogs,2008-09,Scoring
2008-09,1610612744,GSW,Golden State Warriors,0020801229,2009-04-15T00:00:00,GSW @ PHX,L,48.0,0.817,0.183,0.673,0.265,0.133,0.142,0.195,0.106,0.407,0.421,0.579,0.8,0.2,0.465,0.535,1,1231,1231,1231,141,753,1705,642,550,1883,858,1105,2005,1133,1819,637,1641,651,2043,414,teamgamelogs,2008-09,Scoring
