season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,endpoint,input_season,input_measure
2022-23,1610612760,OKC,Oklahoma City Thunder,0022200739,2023-01-27T00:00:00,OKC vs. CLE,W,48.0,11.0,14.0,8.0,50.0,18.0,6.0,10.0,56.0,1,1,1,1,99,1218,635,1175,684,789,96,390,1028,teamgamelogs,2022-23,Misc
2022-23,1610612744,GSW,Golden State Warriors,0022200740,2023-01-27T00:00:00,GSW vs. TOR,W,48.0,16.0,4.0,29.0,62.0,15.0,8.0,23.0,64.0,1,1,1,1,99,789,1410,21,168,521,202,1340,1314,teamgamelogs,2022-23,Misc
2022-23,1610612739,CLE,Cleveland Cavaliers,0022200739,2023-01-27T00:00:00,CLE @ OKC,L,48.0,18.0,6.0,10.0,56.0,11.0,14.0,8.0,50.0,1,741,741,741,99,586,1330,1010,363,206,750,234,688,teamgamelogs,2022-23,Misc
2022-23,1610612754,IND,Indiana Pacers,0022200736,2023-01-27T00:00:00,IND vs. MIL,L,48.0,13.0,12.0,18.0,60.0,9.0,25.0,11.0,58.0,1,741,741,741,99,1050,810,328,221,101,1415,472,1119,teamgamelogs,2022-23,Misc
2022-23,1610612761,TOR,Toronto Raptors,0022200740,2023-01-27T00:00:00,TOR @ GSW,L,48.0,15.0,8.0,23.0,64.0,16.0,4.0,29.0,62.0,1,741,741,741,99,878,1191,120,114,604,26,1450,1261,teamgamelogs,2022-23,Misc
2022-23,1610612750,MIN,Minnesota Timberwolves,0022200737,2023-01-27T00:00:00,MIN vs. MEM,W,48.0,12.0,18.0,21.0,58.0,21.0,17.0,12.0,60.0,1,1,1,1,99,1137,302,173,289,1056,1018,564,1193,teamgamelogs,2022-23,Misc
2022-23,1610612749,MIL,Milwaukee Bucks,0022200736,2023-01-27T00:00:00,MIL @ IND,W,48.0,9.0,25.0,11.0,58.0,13.0,12.0,18.0,60.0,1,1,1,1,99,1335,47,918,289,345,582,1089,1193,teamgamelogs,2022-23,Misc
2022-23,1610612763,MEM,Memphis Grizzlies,0022200737,2023-01-27T00:00:00,MEM @ MIN,L,48.0,21.0,17.0,12.0,60.0,12.0,18.0,21.0,58.0,1,741,741,741,99,344,374,819,221,264,1108,1256,1119,teamgamelogs,2022-23,Misc
2022-23,1610612753,ORL,Orlando Magic,0022200738,2023-01-27T00:00:00,ORL @ MIA,L,48.0,13.0,7.0,10.0,32.0,32.0,11.0,16.0,54.0,1,741,741,741,99,1050,1280,1010,1414,1453,464,925,909,teamgamelogs,2022-23,Misc
2022-23,1610612748,MIA,Miami Heat,0022200738,2023-01-27T00:00:00,MIA vs. ORL,W,48.0,32.0,11.0,16.0,54.0,13.0,7.0,10.0,32.0,1,1,1,1,99,22,900,468,454,345,152,390,43,teamgamelogs,2022-23,Misc
2022-23,1610612742,DAL,Dallas Mavericks,0022200734,2023-01-26T00:00:00,DAL @ PHX,W,48.0,12.0,13.0,10.0,36.0,13.0,11.0,16.0,36.0,1,1,1,1,99,1137,732,1010,1329,345,464,925,115,teamgamelogs,2022-23,Misc
2022-23,1610612756,PHX,Phoenix Suns,0022200734,2023-01-26T00:00:00,PHX vs. DAL,L,48.0,13.0,11.0,16.0,36.0,12.0,13.0,10.0,36.0,1,741,741,741,99,1050,900,468,1329,264,672,390,115,teamgamelogs,2022-23,Misc
2022-23,1610612752,NYK,New York Knicks,0022200730,2023-01-26T00:00:00,NYK @ BOS,W,53.0,22.0,8.0,13.0,48.0,19.0,21.0,17.0,42.0,1,1,1,1,11,285,1191,725,794,896,1291,1014,294,teamgamelogs,2022-23,Misc
2022-23,1610612766,CHA,Charlotte Hornets,0022200732,2023-01-26T00:00:00,CHA vs. CHI,W,48.0,19.0,8.0,23.0,58.0,12.0,9.0,15.0,54.0,1,1,1,1,99,506,1191,120,289,264,291,849,909,teamgamelogs,2022-23,Misc
2022-23,1610612739,CLE,Cleveland Cavaliers,0022200733,2023-01-26T00:00:00,CLE @ HOU,W,48.0,40.0,21.0,17.0,44.0,6.0,22.0,15.0,60.0,1,1,1,1,99,2,149,393,1015,26,1333,849,1193,teamgamelogs,2022-23,Misc
2022-23,1610612741,CHI,Chicago Bulls,0022200732,2023-01-26T00:00:00,CHI @ CHA,L,48.0,12.0,9.0,15.0,54.0,19.0,8.0,23.0,58.0,1,741,741,741,99,1137,1104,557,454,896,202,1340,1119,teamgamelogs,2022-23,Misc
2022-23,1610612746,LAC,LA Clippers,0022200735,2023-01-26T00:00:00,LAC vs. SAS,W,48.0,26.0,10.0,15.0,54.0,6.0,16.0,5.0,52.0,1,1,1,1,99,109,1018,557,454,26,926,82,798,teamgamelogs,2022-23,Misc
