season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,endpoint,input_season,input_measure
2022-23,1610612765,DET,Detroit Pistons,0022200731,2023-01-26T00:00:00,DET @ BKN,W,48.0,13.0,18.0,15.0,60.0,11.0,18.0,11.0,50.0,1,1,1,1,99,1050,302,557,221,206,1108,472,688,teamgamelogs,2022-23,Misc
2022-23,1610612745,HOU,Houston Rockets,0022200733,2023-01-26T00:00:00,HOU vs. CLE,L,48.0,6.0,22.0,15.0,60.0,40.0,21.0,17.0,44.0,1,741,741,741,99,1436,104,557,221,1479,1291,1014,383,teamgamelogs,2022-23,Misc
2022-23,1610612738,BOS,Boston Celtics,0022200730,2023-01-26T00:00:00,BOS vs. NYK,L,53.0,19.0,21.0,17.0,42.0,22.0,8.0,13.0,48.0,1,741,741,741,11,506,149,393,1099,1138,202,663,577,teamgamelogs,2022-23,Misc
2022-23,1610612751,BKN,Brooklyn Nets,0022200731,2023-01-26T00:00:00,BKN vs. DET,L,48.0,11.0,18.0,11.0,50.0,13.0,18.0,15.0,60.0,1,741,741,741,99,1218,302,918,684,345,1108,849,1193,teamgamelogs,2022-23,Misc
2022-23,1610612759,SAS,San Antonio Spurs,0022200735,2023-01-26T00:00:00,SAS @ LAC,L,48.0,6.0,16.0,5.0,52.0,26.0,10.0,15.0,54.0,1,741,741,741,99,1436,464,1369,573,1336,378,849,909,teamgamelogs,2022-23,Misc
2022-23,1610612760,OKC,Oklahoma City Thunder,0022200725,2023-01-25T00:00:00,OKC vs. ATL,L,48.0,24.0,16.0,20.0,72.0,12.0,21.0,10.0,64.0,1,741,741,741,99,188,464,226,16,264,1291,390,1314,teamgamelogs,2022-23,Misc
2022-23,1610612755,PHI,Philadelphia 76ers,0022200721,2023-01-25T00:00:00,PHI vs. BKN,W,48.0,23.0,21.0,15.0,44.0,20.0,11.0,19.0,50.0,1,1,1,1,99,230,149,557,1015,976,464,1154,688,teamgamelogs,2022-23,Misc
2022-23,1610612740,NOP,New Orleans Pelicans,0022200724,2023-01-25T00:00:00,NOP vs. MIN,L,48.0,6.0,10.0,4.0,40.0,18.0,6.0,18.0,50.0,1,741,741,741,99,1436,1018,1400,1188,789,96,1089,688,teamgamelogs,2022-23,Misc
2022-23,1610612754,IND,Indiana Pacers,0022200720,2023-01-25T00:00:00,IND @ ORL,L,48.0,28.0,14.0,17.0,46.0,26.0,27.0,11.0,56.0,1,741,741,741,99,69,635,393,905,1336,1449,472,1028,teamgamelogs,2022-23,Misc
2022-23,1610612745,HOU,Houston Rockets,0022200722,2023-01-25T00:00:00,HOU vs. WAS,L,48.0,15.0,17.0,12.0,70.0,23.0,17.0,18.0,40.0,1,741,741,741,99,878,374,819,35,1197,1018,1089,214,teamgamelogs,2022-23,Misc
2022-23,1610612750,MIN,Minnesota Timberwolves,0022200724,2023-01-25T00:00:00,MIN @ NOP,W,48.0,18.0,6.0,18.0,50.0,6.0,10.0,4.0,40.0,1,1,1,1,99,586,1330,328,684,26,378,38,214,teamgamelogs,2022-23,Misc
2022-23,1610612743,DEN,Denver Nuggets,0022200723,2023-01-25T00:00:00,DEN @ MIL,L,48.0,20.0,21.0,13.0,44.0,21.0,8.0,16.0,42.0,1,741,741,741,99,426,149,725,1015,1056,202,925,294,teamgamelogs,2022-23,Misc
2022-23,1610612744,GSW,Golden State Warriors,0022200726,2023-01-25T00:00:00,GSW vs. MEM,W,48.0,19.0,15.0,7.0,44.0,27.0,9.0,20.0,62.0,1,1,1,1,99,506,556,1248,1015,1373,291,1212,1261,teamgamelogs,2022-23,Misc
2022-23,1610612747,LAL,Los Angeles Lakers,0022200729,2023-01-25T00:00:00,LAL vs. SAS,W,48.0,10.0,15.0,29.0,48.0,17.0,18.0,25.0,58.0,1,1,1,1,99,1276,556,21,794,693,1108,1395,1119,teamgamelogs,2022-23,Misc
2022-23,1610612753,ORL,Orlando Magic,0022200720,2023-01-25T00:00:00,ORL vs. IND,W,48.0,26.0,27.0,11.0,56.0,28.0,14.0,17.0,46.0,1,1,1,1,99,109,21,918,363,1396,750,1014,467,teamgamelogs,2022-23,Misc
2022-23,1610612762,UTA,Utah Jazz,0022200727,2023-01-25T00:00:00,UTA @ POR,L,48.0,13.0,17.0,17.0,50.0,17.0,13.0,26.0,58.0,1,741,741,741,99,1050,374,393,684,693,672,1411,1119,teamgamelogs,2022-23,Misc
2022-23,1610612758,SAC,Sacramento Kings,0022200728,2023-01-25T00:00:00,SAC vs. TOR,L,48.0,11.0,2.0,12.0,42.0,17.0,18.0,11.0,58.0,1,741,741,741,99,1218,1468,819,1099,693,1108,472,1119,teamgamelogs,2022-23,Misc
2022-23,1610612759,SAS,San Antonio Spurs,0022200729,2023-01-25T00:00:00,SAS @ LAL,L,48.0,17.0,18.0,25.0,58.0,10.0,15.0,29.0,48.0,1,741,741,741,99,693,302,71,289,147,847,1450,577,teamgamelogs,2022-23,Misc
2022-23,1610612761,TOR,Toronto Raptors,0022200728,2023-01-25T00:00:00,TOR @ SAC,W,48.0,17.0,18.0,11.0,58.0,11.0,2.0,12.0,42.0,1,1,1,1,99,693,302,918,289,206,7,564,294,teamgamelogs,2022-23,Misc
2022-23,1610612763,MEM,Memphis Grizzlies,0022200726,2023-01-25T00:00:00,MEM @ GSW,L,48.0,27.0,9.0,20.0,62.0,19.0,15.0,7.0,44.0,1,741,741,741,99,86,1104,226,168,896,847,181,383,teamgamelogs,2022-23,Misc
2022-23,1610612737,ATL,Atlanta Hawks,0022200725,2023-01-25T00:00:00,ATL @ OKC,W,48.0,12.0,21.0,10.0,64.0,24.0,16.0,20.0,72.0,1,1,1,1,99,1137,149,1010,114,1252,926,1212,1447,teamgamelogs,2022-23,Misc
2022-23,1610612749,MIL,Milwaukee Bucks,0022200723,2023-01-25T00:00:00,MIL vs. DEN,W,48.0,21.0,8.0,16.0,42.0,20.0,21.0,13.0,44.0,1,1,1,1,99,344,1191,468,1099,976,1291,663,383,teamgamelogs,2022-23,Misc
2022-23,1610612764,WAS,Washington Wizards,0022200722,2023-01-25T00:00:00,WAS @ HOU,W,48.0,23.0,17.0,18.0,40.0,15.0,17.0,12.0,70.0,1,1,1,1,99,230,374,328,1188,521,1018,564,1424,teamgamelogs,2022-23,Misc
2022-23,1610612751,BKN,Brooklyn Nets,0022200721,2023-01-25T00:00:00,BKN @ PHI,L,48.0,20.0,11.0,19.0,50.0,23.0,21.0,15.0,44.0,1,741,741,741,99,426,900,270,684,1197,1291,849,383,teamgamelogs,2022-23,Misc
2022-23,1610612757,POR,Portland Trail Blazers,0022200727,2023-01-25T00:00:00,POR vs. UTA,W,48.0,17.0,13.0,26.0,58.0,13.0,17.0,17.0,50.0,1,1,1,1,99,693,732,49,289,345,1018,1014,688,teamgamelogs,2022-23,Misc
2022-23,1610612738,BOS,Boston Celtics,0022200714,2023-01-24T00:00:00,BOS @ MIA,L,48.0,6.0,8.0,7.0,42.0,17.0,16.0,13.0,42.0,1,741,741,741,99,1436,1191,1248,1099,693,926,663,294,teamgamelogs,2022-23,Misc
2022-23,1610612752,NYK,New York Knicks,0022200715,2023-01-24T00:00:00,NYK vs. CLE,W,48.0,19.0,19.0,7.0,38.0,16.0,8.0,17.0,52.0,1,1,1,1,99,506,241,1248,1268,604,202,1014,798,teamgamelogs,2022-23,Misc
2022-23,1610612740,NOP,New Orleans Pelicans,0022200716,2023-01-24T00:00:00,NOP vs. DEN,L,48.0,16.0,16.0,11.0,62.0,17.0,8.0,15.0,48.0,1,741,741,741,99,789,464,918,168,693,202,849,577,teamgamelogs,2022-23,Misc
2022-23,1610612756,PHX,Phoenix Suns,0022200718,2023-01-24T00:00:00,PHX vs. CHA,W,48.0,19.0,11.0,4.0,44.0,14.0,18.0,9.0,58.0,1,1,1,1,99,506,900,1400,1015,432,1108,307,1119,teamgamelogs,2022-23,Misc
2022-23,1610612739,CLE,Cleveland Cavaliers,0022200715,2023-01-24T00:00:00,CLE @ NYK,L,48.0,16.0,8.0,17.0,52.0,19.0,19.0,7.0,38.0,1,741,741,741,99,789,1191,393,573,896,1180,181,153,teamgamelogs,2022-23,Misc
2022-23,1610612742,DAL,Dallas Mavericks,0022200717,2023-01-24T00:00:00,DAL vs. WAS,L,48.0,14.0,4.0,11.0,64.0,9.0,12.0,11.0,48.0,1,741,741,741,99,961,1410,918,114,101,582,472,577,teamgamelogs,2022-23,Misc
2022-23,1610612743,DEN,Denver Nuggets,0022200716,2023-01-24T00:00:00,DEN @ NOP,W,48.0,17.0,8.0,15.0,48.0,16.0,16.0,11.0,62.0,1,1,1,1,99,693,1191,557,794,604,926,472,1261,teamgamelogs,2022-23,Misc
2022-23,1610612754,IND,Indiana Pacers,0022200713,2023-01-24T00:00:00,IND vs. CHI,W,48.0,24.0,19.0,19.0,56.0,9.0,18.0,14.0,50.0,1,1,1,1,99,188,241,270,363,101,1108,757,688,teamgamelogs,2022-23,Misc
2022-23,1610612764,WAS,Washington Wizards,0022200717,2023-01-24T00:00:00,WAS @ DAL,W,48.0,9.0,12.0,11.0,48.0,14.0,4.0,11.0,64.0,1,1,1,1,99,1335,810,918,794,432,26,472,1314,teamgamelogs,2022-23,Misc
2022-23,1610612747,LAL,Los Angeles Lakers,0022200719,2023-01-24T00:00:00,LAL vs. LAC,L,48.0,16.0,17.0,11.0,50.0,13.0,7.0,11.0,50.0,1,741,741,741,99,789,374,918,684,345,152,472,688,teamgamelogs,2022-23,Misc
2022-23,1610612766,CHA,Charlotte Hornets,0022200718,2023-01-24T00:00:00,CHA @ PHX,L,48.0,14.0,18.0,9.0,58.0,19.0,11.0,4.0,44.0,1,741,741,741,99,961,302,1092,289,896,464,38,383,teamgamelogs,2022-23,Misc
2022-23,1610612741,CHI,Chicago Bulls,0022200713,2023-01-24T00:00:00,CHI @ IND,L,48.0,9.0,18.0,14.0,50.0,24.0,19.0,19.0,56.0,1,741,741,741,99,1335,302,633,684,1252,1180,1154,1028,teamgamelogs,2022-23,Misc
2022-23,1610612748,MIA,Miami Heat,0022200714,2023-01-24T00:00:00,MIA vs. BOS,W,48.0,17.0,16.0,13.0,42.0,6.0,8.0,7.0,42.0,1,1,1,1,99,693,464,725,1099,26,202,181,294,teamgamelogs,2022-23,Misc
2022-23,1610612746,LAC,LA Clippers,0022200719,2023-01-24T00:00:00,LAC @ LAL,W,48.0,13.0,7.0,11.0,50.0,16.0,17.0,11.0,50.0,1,1,1,1,99,1050,1280,918,684,604,1018,472,688,teamgamelogs,2022-23,Misc
2022-23,1610612763,MEM,Memphis Grizzlies,0022200712,2023-01-23T00:00:00,MEM @ SAC,L,48.0,23.0,14.0,12.0,56.0,30.0,14.0,30.0,44.0,1,741,741,741,99,230,635,819,363,1427,750,1461,383,teamgamelogs,2022-23,Misc
2022-23,1610612738,BOS,Boston Celtics,0022200707,2023-01-23T00:00:00,BOS @ ORL,L,48.0,11.0,10.0,6.0,32.0,19.0,10.0,24.0,54.0,1,741,741,741,99,1218,1018,1301,1414,896,378,1362,909,teamgamelogs,2022-23,Misc
2022-23,1610612745,HOU,Houston Rockets,0022200709,2023-01-23T00:00:00,HOU vs. MIN,W,48.0,18.0,14.0,9.0,56.0,19.0,10.0,17.0,44.0,1,1,1,1,99,586,635,1092,363,896,378,1014,383,teamgamelogs,2022-23,Misc
2022-23,1610612762,UTA,Utah Jazz,0022200710,2023-01-23T00:00:00,UTA vs. CHA,W,48.0,24.0,13.0,15.0,46.0,20.0,20.0,22.0,66.0,1,1,1,1,99,188,732,557,905,976,1241,1309,1368,teamgamelogs,2022-23,Misc
2022-23,1610612749,MIL,Milwaukee Bucks,0022200706,2023-01-23T00:00:00,MIL @ DET,W,48.0,26.0,19.0,12.0,58.0,19.0,16.0,21.0,48.0,1,1,1,1,99,109,241,819,289,896,926,1256,577,teamgamelogs,2022-23,Misc
2022-23,1610612765,DET,Detroit Pistons,0022200706,2023-01-23T00:00:00,DET vs. MIL,L,48.0,19.0,16.0,21.0,48.0,26.0,19.0,12.0,58.0,1,741,741,741,99,506,464,173,794,1336,1180,564,1119,teamgamelogs,2022-23,Misc
2022-23,1610612741,CHI,Chicago Bulls,0022200708,2023-01-23T00:00:00,CHI vs. ATL,W,48.0,25.0,12.0,16.0,50.0,8.0,13.0,9.0,46.0,1,1,1,1,99,146,810,468,684,70,672,307,467,teamgamelogs,2022-23,Misc
2022-23,1610612758,SAC,Sacramento Kings,0022200712,2023-01-23T00:00:00,SAC vs. MEM,W,48.0,30.0,14.0,30.0,44.0,23.0,14.0,12.0,56.0,1,1,1,1,99,46,635,15,1015,1197,750,564,1028,teamgamelogs,2022-23,Misc
2022-23,1610612757,POR,Portland Trail Blazers,0022200711,2023-01-23T00:00:00,POR vs. SAS,W,48.0,24.0,6.0,24.0,62.0,15.0,8.0,6.0,54.0,1,1,1,1,99,188,1330,87,168,521,202,113,909,teamgamelogs,2022-23,Misc
2022-23,1610612766,CHA,Charlotte Hornets,0022200710,2023-01-23T00:00:00,CHA @ UTA,L,48.0,20.0,20.0,22.0,66.0,24.0,13.0,15.0,46.0,1,741,741,741,99,426,191,142,80,1252,672,849,467,teamgamelogs,2022-23,Misc
2022-23,1610612759,SAS,San Antonio Spurs,0022200711,2023-01-23T00:00:00,SAS @ POR,L,48.0,15.0,8.0,6.0,54.0,24.0,6.0,24.0,62.0,1,741,741,741,99,878,1191,1301,454,1252,96,1362,1261,teamgamelogs,2022-23,Misc
2022-23,1610612750,MIN,Minnesota Timberwolves,0022200709,2023-01-23T00:00:00,MIN @ HOU,L,48.0,19.0,10.0,17.0,44.0,18.0,14.0,9.0,56.0,1,741,741,741,99,506,1018,393,1015,789,750,307,1028,teamgamelogs,2022-23,Misc
2022-23,1610612753,ORL,Orlando Magic,0022200707,2023-01-23T00:00:00,ORL vs. BOS,W,48.0,19.0,10.0,24.0,54.0,11.0,10.0,6.0,32.0,1,1,1,1,99,506,1018,87,454,206,378,113,43,teamgamelogs,2022-23,Misc
2022-23,1610612737,ATL,Atlanta Hawks,0022200708,2023-01-23T00:00:00,ATL @ CHI,L,48.0,8.0,13.0,9.0,46.0,25.0,12.0,16.0,50.0,1,741,741,741,99,1381,732,1092,905,1294,582,925,688,teamgamelogs,2022-23,Misc
2022-23,1610612744,GSW,Golden State Warriors,0022200704,2023-01-22T00:00:00,GSW vs. BKN,L,48.0,24.0,8.0,21.0,50.0,15.0,5.0,13.0,48.0,1,741,741,741,99,188,1191,173,684,521,72,663,577,teamgamelogs,2022-23,Misc
2022-23,1610612763,MEM,Memphis Grizzlies,0022200703,2023-01-22T00:00:00,MEM @ PHX,L,48.0,23.0,14.0,11.0,56.0,19.0,11.0,10.0,34.0,1,741,741,741,99,230,635,918,363,896,464,390,68,teamgamelogs,2022-23,Misc
2022-23,1610612740,NOP,New Orleans Pelicans,0022200699,2023-01-22T00:00:00,NOP @ MIA,L,48.0,31.0,9.0,26.0,58.0,28.0,8.0,21.0,50.0,1,741,741,741,99,29,1104,49,289,1396,202,1256,688,teamgamelogs,2022-23,Misc
2022-23,1610612746,LAC,LA Clippers,0022200701,2023-01-22T00:00:00,LAC @ DAL,W,48.0,12.0,11.0,17.0,38.0,14.0,8.0,6.0,36.0,1,1,1,1,99,1137,900,393,1268,432,202,113,115,teamgamelogs,2022-23,Misc
2022-23,1610612743,DEN,Denver Nuggets,0022200702,2023-01-22T00:00:00,DEN vs. OKC,L,48.0,5.0,12.0,6.0,44.0,14.0,13.0,9.0,58.0,1,741,741,741,99,1456,810,1301,1015,432,672,307,1119,teamgamelogs,2022-23,Misc
2022-23,1610612748,MIA,Miami Heat,0022200699,2023-01-22T00:00:00,MIA vs. NOP,W,48.0,28.0,8.0,21.0,50.0,31.0,9.0,26.0,58.0,1,1,1,1,99,69,1191,173,684,1436,291,1411,1119,teamgamelogs,2022-23,Misc
2022-23,1610612760,OKC,Oklahoma City Thunder,0022200702,2023-01-22T00:00:00,OKC @ DEN,W,48.0,14.0,13.0,9.0,58.0,5.0,12.0,6.0,44.0,1,1,1,1,99,961,732,1092,289,18,582,113,383,teamgamelogs,2022-23,Misc
2022-23,1610612752,NYK,New York Knicks,0022200700,2023-01-22T00:00:00,NYK @ TOR,L,48.0,8.0,16.0,19.0,42.0,26.0,26.0,18.0,42.0,1,741,741,741,99,1381,464,270,1099,1336,1435,1089,294,teamgamelogs,2022-23,Misc
2022-23,1610612756,PHX,Phoenix Suns,0022200703,2023-01-22T00:00:00,PHX vs. MEM,W,48.0,19.0,11.0,10.0,34.0,23.0,14.0,11.0,56.0,1,1,1,1,99,506,900,1010,1367,1197,750,472,1028,teamgamelogs,2022-23,Misc
2022-23,1610612742,DAL,Dallas Mavericks,0022200701,2023-01-22T00:00:00,DAL vs. LAC,L,48.0,14.0,8.0,6.0,36.0,12.0,11.0,17.0,38.0,1,741,741,741,99,961,1191,1301,1329,264,464,1014,153,teamgamelogs,2022-23,Misc
2022-23,1610612757,POR,Portland Trail Blazers,0022200705,2023-01-22T00:00:00,POR vs. LAL,L,48.0,19.0,16.0,17.0,38.0,15.0,15.0,21.0,62.0,1,741,741,741,99,506,464,393,1268,521,847,1256,1261,teamgamelogs,2022-23,Misc
2022-23,1610612761,TOR,Toronto Raptors,0022200700,2023-01-22T00:00:00,TOR vs. NYK,W,48.0,26.0,26.0,18.0,42.0,8.0,16.0,19.0,42.0,1,1,1,1,99,109,33,328,1099,70,926,1154,294,teamgamelogs,2022-23,Misc
2022-23,1610612751,BKN,Brooklyn Nets,0022200704,2023-01-22T00:00:00,BKN @ GSW,W,48.0,15.0,5.0,13.0,48.0,24.0,8.0,21.0,50.0,1,1,1,1,99,878,1386,725,794,1252,202,1256,688,teamgamelogs,2022-23,Misc
2022-23,1610612747,LAL,Los Angeles Lakers,0022200705,2023-01-22T00:00:00,LAL @ POR,W,48.0,15.0,15.0,21.0,62.0,19.0,16.0,17.0,38.0,1,1,1,1,99,878,556,173,168,896,926,1014,153,teamgamelogs,2022-23,Misc
2022-23,1610612758,SAC,Sacramento Kings,0022200698,2023-01-21T00:00:00,SAC vs. PHI,L,48.0,25.0,6.0,11.0,56.0,15.0,23.0,10.0,70.0,1,741,741,741,99,146,1330,918,363,521,1378,390,1424,teamgamelogs,2022-23,Misc
2022-23,1610612749,MIL,Milwaukee Bucks,0022200695,2023-01-21T00:00:00,MIL @ CLE,L,48.0,12.0,11.0,3.0,44.0,21.0,11.0,7.0,66.0,1,741,741,741,99,1137,900,1444,1015,1056,464,181,1368,teamgamelogs,2022-23,Misc
2022-23,1610612761,TOR,Toronto Raptors,0022200692,2023-01-21T00:00:00,TOR vs. BOS,L,48.0,18.0,6.0,21.0,54.0,12.0,12.0,16.0,36.0,1,741,741,741,99,586,1330,173,454,264,582,925,115,teamgamelogs,2022-23,Misc
2022-23,1610612739,CLE,Cleveland Cavaliers,0022200695,2023-01-21T00:00:00,CLE vs. MIL,W,48.0,21.0,11.0,7.0,66.0,12.0,11.0,3.0,44.0,1,1,1,1,99,344,900,1248,80,264,464,26,383,teamgamelogs,2022-23,Misc
2022-23,1610612737,ATL,Atlanta Hawks,0022200694,2023-01-21T00:00:00,ATL vs. CHA,L,48.0,16.0,6.0,9.0,50.0,21.0,9.0,24.0,58.0,1,741,741,741,99,789,1330,1092,684,1056,291,1362,1119,teamgamelogs,2022-23,Misc
2022-23,1610612754,IND,Indiana Pacers,0022200697,2023-01-21T00:00:00,IND @ PHX,L,48.0,13.0,20.0,21.0,38.0,16.0,19.0,17.0,40.0,1,741,741,741,99,1050,191,173,1268,604,1180,1014,214,teamgamelogs,2022-23,Misc
2022-23,1610612753,ORL,Orlando Magic,0022200693,2023-01-21T00:00:00,ORL @ WAS,L,48.0,10.0,12.0,8.0,46.0,14.0,15.0,9.0,46.0,1,741,741,741,99,1276,810,1175,905,432,847,307,467,teamgamelogs,2022-23,Misc
2022-23,1610612766,CHA,Charlotte Hornets,0022200694,2023-01-21T00:00:00,CHA @ ATL,W,48.0,21.0,9.0,24.0,58.0,16.0,6.0,9.0,50.0,1,1,1,1,99,344,1104,87,289,604,96,307,688,teamgamelogs,2022-23,Misc
2022-23,1610612756,PHX,Phoenix Suns,0022200697,2023-01-21T00:00:00,PHX vs. IND,W,48.0,16.0,19.0,17.0,40.0,13.0,20.0,21.0,38.0,1,1,1,1,99,789,241,393,1188,345,1241,1256,153,teamgamelogs,2022-23,Misc
2022-23,1610612750,MIN,Minnesota Timberwolves,0022200696,2023-01-21T00:00:00,MIN vs. HOU,W,48.0,30.0,3.0,16.0,38.0,17.0,16.0,7.0,54.0,1,1,1,1,99,46,1456,468,1268,693,926,181,909,teamgamelogs,2022-23,Misc
2022-23,1610612745,HOU,Houston Rockets,0022200696,2023-01-21T00:00:00,HOU @ MIN,L,48.0,17.0,16.0,7.0,54.0,30.0,3.0,16.0,38.0,1,741,741,741,99,693,464,1248,454,1427,14,925,153,teamgamelogs,2022-23,Misc
2022-23,1610612755,PHI,Philadelphia 76ers,0022200698,2023-01-21T00:00:00,PHI @ SAC,W,48.0,15.0,23.0,10.0,70.0,25.0,6.0,11.0,56.0,1,1,1,1,99,878,85,1010,35,1294,96,472,1028,teamgamelogs,2022-23,Misc
2022-23,1610612738,BOS,Boston Celtics,0022200692,2023-01-21T00:00:00,BOS @ TOR,W,48.0,12.0,12.0,16.0,36.0,18.0,6.0,21.0,54.0,1,1,1,1,99,1137,810,468,1329,789,96,1256,909,teamgamelogs,2022-23,Misc
2022-23,1610612764,WAS,Washington Wizards,0022200693,2023-01-21T00:00:00,WAS vs. ORL,W,48.0,14.0,15.0,9.0,46.0,10.0,12.0,8.0,46.0,1,1,1,1,99,961,556,1092,905,147,582,234,467,teamgamelogs,2022-23,Misc
2022-23,1610612751,BKN,Brooklyn Nets,0022200689,2023-01-20T00:00:00,BKN @ UTA,W,48.0,15.0,11.0,22.0,46.0,12.0,12.0,16.0,40.0,1,1,1,1,99,878,900,142,905,264,582,925,214,teamgamelogs,2022-23,Misc
2022-23,1610612742,DAL,Dallas Mavericks,0022200686,2023-01-20T00:00:00,DAL vs. MIA,W,48.0,31.0,12.0,7.0,34.0,10.0,10.0,12.0,52.0,1,1,1,1,99,29,810,1248,1367,147,378,564,798,teamgamelogs,2022-23,Misc
