season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,endpoint,input_season,input_measure
2012-13,1610612738,BOS,Boston Celtics,0021201216,2013-04-17T00:00:00,BOS @ TOR,L,48.0,0.482,0.155,0.138,0.2,0.575,0.35,0.117,0.279,1,1230,1230,1230,151,1425,2224,792,2233,2161,1939,2055,950,teamgamelogs,2012-13,Four Factors
2012-13,1610612752,NYK,New York Knicks,0021201218,2013-04-17T00:00:00,NYK vs. ATL,W,48.0,0.478,0.176,0.128,0.304,0.422,0.189,0.138,0.34,1,1,1,1,151,1500,2105,574,1178,300,455,1642,1716,teamgamelogs,2012-13,Four Factors
2012-13,1610612740,NOH,New Orleans Hornets,0021201224,2013-04-17T00:00:00,NOH @ DAL,L,48.0,0.393,0.333,0.228,0.466,0.549,0.134,0.12,0.171,1,1230,1230,1230,151,2322,601,2379,41,1920,139,2002,96,teamgamelogs,2012-13,Four Factors
2012-13,1610612749,MIL,Milwaukee Bucks,0021201226,2013-04-17T00:00:00,MIL @ OKC,W,48.0,0.482,0.212,0.135,0.353,0.433,0.157,0.09,0.245,1,1,1,1,151,1423,1775,731,592,388,246,2354,602,teamgamelogs,2012-13,Four Factors
2012-13,1610612755,PHI,Philadelphia 76ers,0021201221,2013-04-17T00:00:00,PHI @ IND,W,48.0,0.553,0.165,0.168,0.326,0.488,0.338,0.168,0.306,1,1,1,1,151,491,2174,1559,897,1101,1867,874,1315,teamgamelogs,2012-13,Four Factors
2012-13,1610612744,GSW,Golden State Warriors,0021201230,2013-04-17T00:00:00,GSW @ POR,W,48.0,0.478,0.14,0.125,0.315,0.463,0.171,0.147,0.188,1,1,1,1,151,1495,2292,528,1025,748,317,1402,167,teamgamelogs,2012-13,Four Factors
2012-13,1610612765,DET,Detroit Pistons,0021201217,2013-04-17T00:00:00,DET @ BKN,L,48.0,0.481,0.41,0.238,0.356,0.531,0.284,0.235,0.356,1,1230,1230,1230,151,1455,236,2418,571,1710,1440,48,1878,teamgamelogs,2012-13,Four Factors
2012-13,1610612764,WAS,Washington Wizards,0021201222,2013-04-17T00:00:00,WAS @ CHI,L,48.0,0.465,0.2,0.1,0.275,0.519,0.244,0.169,0.295,1,1230,1230,1230,151,1695,1895,177,1548,1558,1023,858,1171,teamgamelogs,2012-13,Four Factors
2012-13,1610612748,MIA,Miami Heat,0021201220,2013-04-17T00:00:00,MIA vs. ORL,W,48.0,0.615,0.244,0.135,0.25,0.532,0.325,0.17,0.341,1,1,1,1,151,103,1427,731,1792,1736,1774,819,1748,teamgamelogs,2012-13,Four Factors
2012-13,1610612751,BKN,Brooklyn Nets,0021201217,2013-04-17T00:00:00,BKN vs. DET,W,48.0,0.531,0.284,0.235,0.356,0.481,0.41,0.238,0.356,1,1,1,1,151,743,1010,2410,571,996,2220,41,1878,teamgamelogs,2012-13,Four Factors
2012-13,1610612737,ATL,Atlanta Hawks,0021201218,2013-04-17T00:00:00,ATL @ NYK,L,48.0,0.422,0.189,0.138,0.34,0.478,0.176,0.128,0.304,1,1230,1230,1230,151,2156,1998,792,739,959,353,1867,1274,teamgamelogs,2012-13,Four Factors
2012-13,1610612761,TOR,Toronto Raptors,0021201216,2013-04-17T00:00:00,TOR vs. BOS,W,48.0,0.575,0.35,0.117,0.279,0.482,0.155,0.138,0.2,1,1,1,1,151,296,517,393,1492,1028,233,1642,205,teamgamelogs,2012-13,Four Factors
2012-13,1610612762,UTA,Utah Jazz,0021201223,2013-04-17T00:00:00,UTA @ MEM,L,48.0,0.34,0.333,0.163,0.333,0.429,0.238,0.128,0.365,1,1230,1230,1230,151,2446,601,1427,754,349,975,1858,1965,teamgamelogs,2012-13,Four Factors
