season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,endpoint,input_season,input_measure
2013-14,1610612743,DEN,Denver Nuggets,0021301230,2014-04-16T00:00:00,DEN vs. GSW,L,48.0,0.595,0.405,0.5,0.054,0.241,0.214,0.259,0.179,0.446,0.536,0.464,0.889,0.111,0.622,0.378,1,1231,1231,1231,159,2399,60,2100,2375,1026,240,193,958,964,1083,1364,966,1408,886,1555,teamgamelogs,2013-14,Scoring
2013-14,1610612756,PHX,Phoenix Suns,0021301229,2014-04-16T00:00:00,PHX @ SAC,W,48.0,0.767,0.233,0.615,0.173,0.231,0.183,0.154,0.144,0.442,0.344,0.656,0.625,0.375,0.4,0.6,1,1,1,1,159,903,1553,1033,1227,1128,463,1572,1535,991,2292,163,2202,222,2353,97,teamgamelogs,2013-14,Scoring
2013-14,1610612738,BOS,Boston Celtics,0021301222,2014-04-16T00:00:00,BOS vs. WAS,L,48.0,0.643,0.357,0.627,0.196,0.206,0.147,0.167,0.176,0.431,0.563,0.438,0.857,0.143,0.615,0.385,1,1231,1231,1231,159,2230,227,905,906,1426,915,1336,987,1107,846,1595,1161,1170,936,1506,teamgamelogs,2013-14,Scoring
2013-14,1610612740,NOP,New Orleans Pelicans,0021301219,2014-04-16T00:00:00,NOP vs. HOU,W,48.0,0.854,0.146,0.705,0.133,0.171,0.162,0.124,0.133,0.571,0.541,0.459,0.667,0.333,0.558,0.442,1,1,1,1,159,113,2345,259,1724,1783,718,1991,1717,105,1049,1403,2048,269,1500,951,teamgamelogs,2013-14,Scoring
2013-14,1610612752,NYK,New York Knicks,0021301226,2014-04-16T00:00:00,NYK vs. TOR,W,48.0,0.79,0.21,0.611,0.232,0.253,0.063,0.137,0.232,0.379,0.276,0.724,0.625,0.375,0.351,0.649,1,1,1,1,159,611,1841,1102,515,919,2147,1832,295,1659,2418,40,2202,222,2430,31,teamgamelogs,2013-14,Scoring
2013-14,1610612759,SAS,San Antonio Spurs,0021301221,2014-04-16T00:00:00,SAS vs. LAL,L,48.0,0.697,0.303,0.62,0.24,0.3,0.16,0.08,0.06,0.38,0.516,0.484,0.9,0.1,0.61,0.39,1,1231,1231,1231,159,1812,649,986,441,459,737,2382,2403,1642,1252,1187,915,1495,987,1459,teamgamelogs,2013-14,Scoring
2013-14,1610612763,MEM,Memphis Grizzlies,0021301216,2014-04-16T00:00:00,MEM vs. DAL,W,53.0,0.773,0.227,0.717,0.17,0.142,0.057,0.142,0.113,0.547,0.526,0.474,1.0,0.0,0.581,0.419,1,1,1,1,29,819,1631,198,1261,2056,2209,1771,2019,189,1162,1293,1,1657,1264,1188,teamgamelogs,2013-14,Scoring
2013-14,1610612762,UTA,Utah Jazz,0021301218,2014-04-16T00:00:00,UTA @ MIN,W,58.0,0.778,0.222,0.691,0.221,0.132,0.154,0.176,0.147,0.471,0.511,0.489,1.0,0.0,0.566,0.434,1,1,1,1,7,762,1684,347,607,2141,817,1187,1490,702,1312,1149,1,1657,1421,1040,teamgamelogs,2013-14,Scoring
2013-14,1610612766,CHA,Charlotte Bobcats,0021301223,2014-04-16T00:00:00,CHA vs. CHI,W,53.0,0.753,0.247,0.637,0.176,0.165,0.088,0.198,0.11,0.462,0.621,0.379,1.0,0.0,0.676,0.324,1,1,1,1,29,1100,1354,807,1195,1843,1859,850,2054,793,451,1994,1,1657,419,2029,teamgamelogs,2013-14,Scoring
2013-14,1610612760,OKC,Oklahoma City Thunder,0021301220,2014-04-16T00:00:00,OKC vs. DET,W,48.0,0.733,0.267,0.589,0.071,0.134,0.179,0.277,0.223,0.518,0.576,0.424,0.8,0.2,0.605,0.395,1,1,1,1,159,1364,1095,1327,2301,2132,514,104,375,323,751,1699,1489,817,1030,1410,teamgamelogs,2013-14,Scoring
