season_year,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,endpoint,input_season,input_measure
2022-23,1610612754,IND,Indiana Pacers,0022200736,2023-01-27T00:00:00,IND vs. MIL,L,48.0,0.629,0.371,0.55,0.092,0.298,0.137,0.153,0.099,0.458,0.306,0.694,0.846,0.154,0.449,0.551,1,741,741,741,99,644,833,523,481,864,550,839,1223,615,1421,60,699,749,1395,85,teamgamelogs,2022-23,Scoring
2022-23,1610612749,MIL,Milwaukee Bucks,0022200736,2023-01-27T00:00:00,MIL @ IND,W,48.0,0.561,0.439,0.482,0.071,0.383,0.078,0.135,0.064,0.411,0.441,0.559,0.944,0.056,0.615,0.385,1,1,1,1,99,1118,360,960,734,361,1153,1037,1419,918,1043,430,252,1222,645,825,teamgamelogs,2022-23,Scoring
2022-23,1610612748,MIA,Miami Heat,0022200738,2023-01-27T00:00:00,MIA vs. ORL,W,48.0,0.612,0.388,0.527,0.036,0.273,0.145,0.2,0.291,0.491,0.655,0.345,0.9,0.1,0.718,0.282,1,1,1,1,99,766,710,671,1171,1033,471,313,14,404,143,1333,470,958,153,1322,teamgamelogs,2022-23,Scoring
2022-23,1610612739,CLE,Cleveland Cavaliers,0022200739,2023-01-27T00:00:00,CLE @ OKC,L,48.0,0.67,0.33,0.62,0.06,0.24,0.1,0.14,0.18,0.56,0.71,0.29,0.625,0.375,0.692,0.308,1,741,741,741,99,320,1158,163,860,1212,918,977,414,121,59,1421,1356,109,248,1225,teamgamelogs,2022-23,Scoring
2022-23,1610612760,OKC,Oklahoma City Thunder,0022200739,2023-01-27T00:00:00,OKC vs. CLE,W,48.0,0.763,0.237,0.536,0.089,0.268,0.071,0.196,0.098,0.446,0.333,0.667,0.9,0.1,0.475,0.525,1,1,1,1,99,19,1462,599,498,1066,1200,357,1233,673,1362,89,470,958,1331,144,teamgamelogs,2022-23,Scoring
2022-23,1610612763,MEM,Memphis Grizzlies,0022200737,2023-01-27T00:00:00,MEM @ MIN,L,48.0,0.645,0.355,0.6,0.0,0.24,0.12,0.16,0.21,0.6,0.5,0.5,0.875,0.125,0.579,0.421,1,741,741,741,99,518,960,249,1433,1212,714,757,207,43,711,677,591,847,858,612,teamgamelogs,2022-23,Scoring
2022-23,1610612761,TOR,Toronto Raptors,0022200740,2023-01-27T00:00:00,TOR @ GSW,L,48.0,0.673,0.327,0.581,0.034,0.308,0.197,0.111,0.128,0.547,0.441,0.559,0.75,0.25,0.522,0.478,1,741,741,741,99,314,1166,332,1222,799,139,1254,956,155,1043,430,1058,347,1168,305,teamgamelogs,2022-23,Scoring
2022-23,1610612744,GSW,Golden State Warriors,0022200740,2023-01-27T00:00:00,GSW vs. TOR,W,48.0,0.522,0.478,0.496,0.016,0.419,0.225,0.085,0.124,0.481,0.719,0.281,0.944,0.056,0.8,0.2,1,1,1,1,99,1287,192,857,1419,215,61,1406,991,470,47,1433,252,1222,24,1453,teamgamelogs,2022-23,Scoring
2022-23,1610612750,MIN,Minnesota Timberwolves,0022200737,2023-01-27T00:00:00,MIN vs. MEM,W,48.0,0.593,0.407,0.559,0.036,0.351,0.189,0.09,0.108,0.523,0.645,0.355,0.846,0.154,0.705,0.295,1,1,1,1,99,905,568,469,1177,546,167,1388,1167,240,156,1315,699,749,191,1286,teamgamelogs,2022-23,Scoring
2022-23,1610612753,ORL,Orlando Magic,0022200738,2023-01-27T00:00:00,ORL @ MIA,L,48.0,0.507,0.493,0.4,0.095,0.343,0.095,0.257,0.124,0.305,0.429,0.571,1.0,0.0,0.636,0.364,1,741,741,741,99,1330,151,1351,438,589,981,54,1004,1404,1099,360,1,1238,521,948,teamgamelogs,2022-23,Scoring
